== Title: Sales Figure Summary for brand ==
The following covers sales statistics for all ['company', 'year', 'country', 'item category']
| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |          5105 |        1993303 |                1 |               5 |
| kingston brass                       |         11086 |        1469195 |                2 |               2 |
| nostalgic warehouse                  |          9944 |        1255062 |                3 |               3 |
| rohl                                 |          1640 |        1183787 |                4 |              14 |
| delta faucet                         |          5904 |         970750 |                5 |               4 |
| grandeur                             |          4300 |         762724 |                6 |               8 |
| schlage lock company                 |         11913 |         637276 |                7 |               1 |
| baldwin                              |          3400 |         437428 |                8 |               9 |
| design art                           |          4912 |         430689 |                9 |               6 |
| grohe                                |          1105 |         423939 |               10 |              19 |
| schock                               |           786 |         342207 |               11 |              27 |
| moen                                 |          1252 |         332021 |               12 |              17 |
| axor                                 |           414 |         323015 |               13 |              45 |
| american standard                    |          1851 |         308501 |               14 |              12 |
| waterstone                           |           481 |         291277 |               15 |              39 |
| emtek                                |          2246 |         247823 |               16 |              10 |
| kwikset                              |          4618 |         198699 |               17 |               7 |
| toto                                 |           354 |         196291 |               18 |              49 |
| symmons                              |           789 |         156545 |               19 |              26 |
| hansgrohe                            |           531 |         153621 |               20 |              36 |
| franke                               |           421 |         148838 |               21 |              44 |
| pfister                              |           977 |         136163 |               22 |              21 |
| milocks                              |          1727 |         119020 |               23 |              13 |
| whitehaus collection                 |           526 |         104441 |               24 |              37 |
| pioneer                              |           601 |          97038 |               25 |              30 |
| notrax                               |          1621 |          96570 |               26 |              15 |
| delta                                |           262 |          94839 |               27 |              61 |
| danze                                |           612 |          92486 |               28 |              29 |
| 3m                                   |          1992 |          92336 |               29 |              11 |
| artos                                |           202 |          77574 |               30 |              76 |
| elkay                                |           244 |          75470 |               31 |              67 |
| whitehaus                            |           194 |          67302 |               32 |              78 |
| kraus                                |           329 |          65371 |               33 |              54 |
| la toscana                           |           137 |          56377 |               34 |             101 |
| pioneer faucets                      |           347 |          53541 |               35 |              51 |
| design house                         |          1422 |          50913 |               36 |              16 |
| mr direct                            |           164 |          45052 |               37 |              91 |
| honeywell safes & door locks         |           353 |          44731 |               38 |              50 |
| keeney manufacturing                 |           903 |          41693 |               39 |              22 |
