== Title: Sales Figures for company: 2Connect Presentation Training == 



== 2Connect Presentation Training: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |          2016 |         276583 |                1 |               2 |
|   2022 |          2054 |         276582 |                2 |               1 |
|   2021 |          1994 |         268268 |                3 |               3 |

== 2Connect Presentation Training: Sales Break out by country == 

| country       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------|--------------:|---------------:|-----------------:|----------------:|
| China         |          3391 |         458152 |                1 |               1 |
| United States |          2488 |         338244 |                2 |               2 |
| Brazil        |           185 |          25036 |                3 |               3 |

== 2Connect Presentation Training: Sales Break out by item category == 

| item category            |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------|--------------:|---------------:|-----------------:|----------------:|
| shorts                   |          1892 |         283834 |                1 |               1 |
| boots                    |          1086 |         144623 |                2 |               2 |
| mobile phone accessories |          1052 |         139496 |                3 |               3 |
| table linens             |          1022 |         128192 |                4 |               4 |
| car care products        |          1012 |         125289 |                5 |               5 |

== 2Connect Presentation Training: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |           329 |         150080 |                1 |               5 |
| delta faucet                         |           388 |          98840 |                2 |               4 |
| kingston brass                       |           563 |          77897 |                3 |               1 |
| nostalgic warehouse                  |           446 |          55437 |                4 |               3 |
| rohl                                 |            85 |          52697 |                5 |              14 |
| grandeur                             |           239 |          40692 |                6 |               8 |
| schlage lock company                 |           522 |          32153 |                7 |               2 |
| grohe                                |            68 |          23260 |                8 |              18 |
| design art                           |           261 |          19665 |                9 |               7 |
| american standard                    |           108 |          16824 |               10 |              10 |
| baldwin                              |           151 |          14847 |               11 |               9 |
| moen                                 |            49 |          13957 |               12 |              20 |
| emtek                                |           100 |          12351 |               13 |              11 |
| axor                                 |            16 |          11300 |               14 |              40 |
| kwikset                              |           267 |          10106 |               15 |               6 |
| hansgrohe                            |            31 |           9379 |               16 |              29 |
| schock                               |            16 |           7986 |               17 |              40 |
| franke                               |            20 |           7747 |               18 |              36 |
| pfister                              |            52 |           7665 |               19 |              19 |
| delta                                |            17 |           7081 |               20 |              39 |
| whitehaus collection                 |            32 |           6500 |               21 |              28 |
| elkay                                |            15 |           5766 |               22 |              41 |
| pioneer                              |            33 |           5501 |               23 |              27 |
| 3m                                   |            95 |           5106 |               24 |              13 |
| mr direct                            |            19 |           5075 |               25 |              37 |
| danze                                |            32 |           4996 |               26 |              28 |
| symmons                              |            25 |           4982 |               27 |              31 |
| whitehaus                            |            13 |           4748 |               28 |              43 |
| kraus                                |            23 |           4270 |               29 |              33 |
| waterstone                           |             5 |           3690 |               30 |              51 |
| notrax                               |            42 |           3218 |               31 |              21 |
| artos                                |            10 |           2878 |               32 |              46 |
| toto                                 |             8 |           2794 |               33 |              48 |
| cifial                               |             6 |           2462 |               34 |              50 |
| design house                         |            70 |           2450 |               35 |              17 |
| blanco                               |             9 |           2414 |               36 |              47 |
| la toscana                           |             6 |           2392 |               37 |              50 |
| master lock                          |            72 |           2161 |               38 |              16 |
| pioneer faucets                      |            13 |           1971 |               39 |              43 |
| milocks                              |            23 |           1859 |               40 |              33 |
| weslock                              |            41 |           1716 |               41 |              22 |
| kwc faucets                          |             3 |           1686 |               42 |              53 |
| dawn                                 |            14 |           1660 |               43 |              42 |
| slide-co                             |            96 |           1626 |               44 |              12 |
| prime-line products                  |            74 |           1581 |               45 |              15 |
| westbrass                            |            21 |           1475 |               46 |              35 |
| lockey usa                           |            10 |           1458 |               47 |              46 |
| notrax floor matting                 |            20 |           1422 |               48 |              36 |
| just manufacturing                   |             3 |           1421 |               49 |              53 |
| gator grip                           |             7 |           1315 |               50 |              49 |
| carlisle                             |            24 |           1311 |               51 |              32 |
| rubbermaid commercial products       |            39 |           1309 |               52 |              23 |
| sinkology                            |             5 |           1306 |               53 |              51 |
| homewerks worldwide                  |            18 |           1241 |               54 |              38 |
| inox                                 |             5 |           1215 |               55 |              51 |
| 3m dual lock                         |             3 |           1190 |               56 |              53 |
| keeney manufacturing                 |            29 |           1064 |               57 |              30 |
| mountain plumbing                    |             3 |           1011 |               58 |              53 |
| lockstate                            |            11 |            984 |               59 |              45 |
| fun furnishings                      |             5 |            968 |               60 |              51 |
| guardian                             |            17 |            963 |               61 |              39 |
| estora                               |             7 |            946 |               62 |              49 |
| oxo                                  |            72 |            920 |               63 |              16 |
| cleveland faucets                    |            10 |            861 |               64 |              46 |
| ultraloq                             |             5 |            837 |               65 |              51 |
| honeywell safes & door locks         |            12 |            810 |               66 |              44 |
| selkirk                              |             5 |            790 |               67 |              51 |
| elements of design                   |            19 |            763 |               68 |              37 |
| premier pet steps                    |             7 |            760 |               69 |              49 |
| fluid faucets                        |             2 |            754 |               70 |              54 |
| novatto                              |             4 |            727 |               71 |              52 |
| soss                                 |            14 |            694 |               72 |              42 |
| hardware house                       |             8 |            672 |               73 |              48 |
| huntington brass                     |             6 |            670 |               74 |              50 |
| bellaterra home                      |             6 |            645 |               75 |              50 |
| copper creek                         |            17 |            636 |               76 |              39 |
| yosemite home decor                  |             7 |            621 |               77 |              49 |
| deltana                              |            18 |            619 |               78 |              38 |
| goldenstar                           |            11 |            617 |               79 |              45 |
| ultra faucets                        |             6 |            576 |               80 |              50 |
| cozy sack                            |             3 |            574 |               81 |              53 |
| ultra                                |             4 |            560 |               82 |              52 |
| gold medal bean bags                 |             4 |            546 |               83 |              52 |
| ispring                              |             5 |            536 |               84 |              51 |
| allied precision industries          |             5 |            504 |               85 |              51 |
| olympia faucets                      |             9 |            494 |               86 |              47 |
| ambassador marine                    |            11 |            487 |               87 |              45 |
| transolid                            |             5 |            482 |               88 |              51 |
| ez-set                               |            14 |            479 |               89 |              42 |
| vigo                                 |             9 |            475 |               90 |              47 |
| prime-line                           |            31 |            449 |               91 |              29 |
| abus lock                            |             8 |            432 |               92 |              48 |
| ez-flo                               |            16 |            426 |               93 |              40 |
| builders shoppe                      |             5 |            420 |               94 |              51 |
| dyconn faucet                        |             6 |            419 |               95 |              50 |
| the andersen company                 |             9 |            418 |               96 |              47 |
| brinks                               |            17 |            410 |               97 |              39 |
| durable corporation                  |             7 |            409 |               98 |              49 |
| roll products                        |            16 |            399 |               99 |              40 |
| the hillman group                    |            36 |            393 |              100 |              25 |
| gift mark                            |             3 |            390 |              101 |              53 |
| yale                                 |             1 |            389 |              102 |              55 |
| y decor                              |             3 |            375 |              103 |              53 |
| premier                              |             3 |            372 |              104 |              53 |
| tosca                                |             3 |            372 |              105 |              53 |
| frenchi home furnishing              |             9 |            355 |              106 |              47 |
| national hardware                    |            37 |            350 |              107 |              24 |
| ldr industries                       |             8 |            349 |              108 |              48 |
| innoseal                             |             3 |            345 |              109 |              53 |
| brady                                |            12 |            338 |              110 |              44 |
| segal                                |             4 |            333 |              111 |              52 |
| lenox                                |             3 |            324 |              112 |              53 |
| libman commercial                    |             7 |            320 |              113 |              49 |
| scotch                               |             7 |            320 |              114 |              49 |
| schlage                              |             5 |            318 |              115 |              51 |
| ideal security inc.                  |            14 |            316 |              116 |              42 |
| jaclo                                |             4 |            316 |              117 |              52 |
| idhba                                |             9 |            315 |              118 |              47 |
| cleanflo                             |             3 |            298 |              119 |              53 |
| t&s brass                            |             2 |            297 |              120 |              54 |
| nuset                                |             8 |            293 |              121 |              48 |
| heavy metal                          |             1 |            288 |              122 |              55 |
| momeni rugs                          |             4 |            287 |              123 |              52 |
| belwith products llc                 |            34 |            286 |              124 |              26 |
| uxcell                               |            22 |            282 |              125 |              34 |
| aviditi                              |             3 |            269 |              126 |              53 |
| ariel bath                           |             3 |            267 |              127 |              53 |
| sofa sack - bean bags                |             2 |            255 |              128 |              54 |
| soux chief                           |             5 |            253 |              129 |              51 |
| malish                               |             4 |            248 |              130 |              52 |
| big joe                              |             2 |            245 |              131 |              54 |
| dri-eaz                              |             1 |            243 |              132 |              55 |
| teflon                               |             6 |            237 |              133 |              50 |
| honeywell                            |             3 |            235 |              134 |              53 |
| premier faucet                       |             3 |            232 |              135 |              53 |
| chill sack                           |             1 |            232 |              136 |              55 |
| small parts                          |            13 |            228 |              137 |              43 |
| mintcraft                            |             9 |            226 |              138 |              47 |
| kindred                              |             2 |            222 |              139 |              54 |
| cleveland faucet                     |             3 |            216 |              140 |              53 |
| seda france                          |            11 |            214 |              141 |              45 |
| mariposa                             |             4 |            213 |              142 |              52 |
| slipstick                            |            18 |            213 |              143 |              38 |
