== Title: Sales Figures for company: Busby Metals Limited == 



== Busby Metals Limited: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |          1899 |         281302 |                1 |               3 |
|   2021 |          1953 |         259376 |                2 |               1 |
|   2022 |          1941 |         256285 |                3 |               2 |

== Busby Metals Limited: Sales Break out by country == 

| country     |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:------------|--------------:|---------------:|-----------------:|----------------:|
| China       |          4424 |         623717 |                1 |               1 |
| Russia      |          1140 |         144298 |                2 |               2 |
| Netherlands |           229 |          28948 |                3 |               3 |

== Busby Metals Limited: Sales Break out by item category == 

| item category          |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-----------------------|--------------:|---------------:|-----------------:|----------------:|
| storage & organization |          1597 |         234780 |                1 |               1 |
| drinkware              |          1156 |         157075 |                2 |               2 |
| sewing and accessories |          1000 |         141013 |                3 |               4 |
| casual & dress shoes   |          1000 |         132296 |                4 |               4 |
| stationery             |          1040 |         131800 |                5 |               3 |

== Busby Metals Limited: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| rohl                                 |           120 |         122893 |                1 |              11 |
| kohler                               |           259 |         109203 |                2 |               4 |
| kingston brass                       |           498 |          68682 |                3 |               2 |
| nostalgic warehouse                  |           466 |          56963 |                4 |               3 |
| grandeur                             |           258 |          43506 |                5 |               5 |
| delta faucet                         |           238 |          41735 |                6 |               6 |
| schlage lock company                 |           572 |          33791 |                7 |               1 |
| design art                           |           213 |          18190 |                8 |               7 |
| baldwin                              |           178 |          17830 |                9 |               9 |
| moen                                 |            65 |          17494 |               10 |              17 |
| grohe                                |            46 |          17100 |               11 |              20 |
| axor                                 |            20 |          15437 |               12 |              36 |
| american standard                    |            86 |          14614 |               13 |              13 |
| bellaterra home                      |            74 |          13677 |               14 |              16 |
| emtek                                |           100 |          12086 |               15 |              12 |
| schock                               |            18 |           8856 |               16 |              37 |
| kwikset                              |           187 |           8408 |               17 |               8 |
| hansgrohe                            |            30 |           6951 |               18 |              29 |
| elkay                                |            15 |           6272 |               19 |              40 |
| pfister                              |            37 |           6110 |               20 |              25 |
| symmons                              |            33 |           5931 |               21 |              27 |
| artos                                |            15 |           5782 |               22 |              40 |
| 3m                                   |           124 |           5331 |               23 |              10 |
| franke                               |            14 |           5313 |               24 |              41 |
| waterstone                           |             7 |           4773 |               25 |              48 |
| delta                                |            11 |           4606 |               26 |              44 |
| danze                                |            34 |           4278 |               27 |              26 |
| whitehaus                            |            13 |           4121 |               28 |              42 |
| pioneer                              |            23 |           4014 |               29 |              33 |
| whitehaus collection                 |            22 |           3765 |               30 |              34 |
| kraus                                |            16 |           3721 |               31 |              39 |
| mr direct                            |            13 |           3547 |               32 |              42 |
| lockey usa                           |            23 |           3525 |               33 |              33 |
| just manufacturing                   |             6 |           3200 |               34 |              49 |
| notrax                               |            42 |           3187 |               35 |              22 |
| robelle                              |            58 |           2917 |               36 |              18 |
| toto                                 |             9 |           2914 |               37 |              46 |
| blanco                               |            10 |           2806 |               38 |              45 |
| pioneer faucets                      |            18 |           2700 |               39 |              37 |
| westbrass                            |            32 |           2444 |               40 |              28 |
| milocks                              |            27 |           2270 |               41 |              31 |
| design house                         |            76 |           2048 |               42 |              15 |
| la toscana                           |             5 |           2024 |               43 |              50 |
| rubbermaid commercial products       |            48 |           1883 |               44 |              19 |
| weslock                              |            40 |           1850 |               45 |              23 |
| master lock                          |            82 |           1768 |               46 |              14 |
| kwc faucets                          |             3 |           1686 |               47 |              52 |
| sinkology                            |             6 |           1553 |               48 |              49 |
| watts premier                        |            18 |           1480 |               49 |              37 |
| segal                                |            17 |           1414 |               50 |              38 |
| homewerks worldwide                  |            17 |           1356 |               51 |              38 |
| mountain plumbing                    |             4 |           1348 |               52 |              51 |
