== Title: Sales Figures for company: Chuo Mitsui Investments == 



== Chuo Mitsui Investments: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2021 |          2078 |         266735 |                1 |               1 |
|   2022 |          2016 |         254137 |                2 |               2 |
|   2023 |          1938 |         246735 |                3 |               3 |

== Chuo Mitsui Investments: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| United States  |          4093 |         508519 |                1 |               1 |
| Japan          |          1426 |         184102 |                2 |               2 |
| United Kingdom |           513 |          74986 |                3 |               3 |

== Chuo Mitsui Investments: Sales Break out by item category == 

| item category             |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------------------|--------------:|---------------:|-----------------:|----------------:|
| dinnerware & serveware    |          2576 |         331276 |                1 |               1 |
| tops                      |          1303 |         169062 |                2 |               2 |
| bedding sets & components |          1140 |         144449 |                3 |               3 |
| casual & dress shoes      |          1013 |         122820 |                4 |               4 |

== Chuo Mitsui Investments: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |           276 |         114183 |                1 |               5 |
| kingston brass                       |           551 |          75223 |                2 |               1 |
| rohl                                 |            89 |          65615 |                3 |              14 |
| nostalgic warehouse                  |           487 |          58723 |                4 |               3 |
| delta faucet                         |           351 |          46944 |                5 |               4 |
| grandeur                             |           231 |          42812 |                6 |               6 |
| schlage lock company                 |           533 |          29815 |                7 |               2 |
| baldwin                              |           179 |          19964 |                8 |               9 |
| grohe                                |            51 |          18948 |                9 |              21 |
| moen                                 |            81 |          16570 |               10 |              15 |
| american standard                    |            98 |          16370 |               11 |              12 |
| design art                           |           181 |          15305 |               12 |               8 |
| axor                                 |            16 |          13934 |               13 |              43 |
| emtek                                |           100 |          11357 |               14 |              11 |
| honeywell safes & door locks         |            65 |          11117 |               15 |              18 |
| kwikset                              |           228 |          10280 |               16 |               7 |
| pfister                              |            66 |           9603 |               17 |              17 |
| schock                               |            17 |           8505 |               18 |              42 |
| hansgrohe                            |            31 |           8135 |               19 |              30 |
| symmons                              |            50 |           8042 |               20 |              22 |
| franke                               |            20 |           7717 |               21 |              39 |
| delta                                |            32 |           7417 |               22 |              29 |
| waterstone                           |             8 |           6235 |               23 |              51 |
| whitehaus                            |            14 |           5545 |               24 |              45 |
| danze                                |            38 |           5438 |               25 |              27 |
| 3m                                   |           110 |           5291 |               26 |              10 |
| bellaterra home                      |            24 |           5258 |               27 |              35 |
| elkay                                |            16 |           4412 |               28 |              43 |
| artos                                |            13 |           4261 |               29 |              46 |
