== Title: Sales Figures for company: Henties Juices == 



== Henties Juices: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2021 |          2863 |         391372 |                1 |               2 |
|   2022 |          2963 |         391065 |                2 |               1 |
|   2023 |          2821 |         368060 |                3 |               3 |

== Henties Juices: Sales Break out by country == 

| country   |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:----------|--------------:|---------------:|-----------------:|----------------:|
| China     |          7759 |        1024327 |                1 |               1 |
| Russia    |           438 |          67035 |                2 |               3 |
| Brazil    |           450 |          59135 |                3 |               2 |

== Henties Juices: Sales Break out by item category == 

| item category        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------|--------------:|---------------:|-----------------:|----------------:|
| makeup               |          2095 |         319855 |                1 |               2 |
| casual & dress shoes |          2390 |         289635 |                2 |               1 |
| uniform              |          1568 |         195067 |                3 |               3 |
| kitchen accessories  |          1422 |         188670 |                4 |               4 |
| sleepwear            |          1172 |         157270 |                5 |               5 |

== Henties Juices: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| rohl                                 |           145 |         141740 |                1 |              12 |
| delta faucet                         |           573 |         122450 |                2 |               4 |
| nostalgic warehouse                  |           878 |         117322 |                3 |               1 |
| kohler                               |           297 |         111617 |                4 |               8 |
| kingston brass                       |           784 |         105686 |                5 |               2 |
| grandeur                             |           273 |          47258 |                6 |               9 |
| grohe                                |           102 |          39782 |                7 |              18 |
| moen                                 |            76 |          38315 |                8 |              22 |
| schlage lock company                 |           724 |          38225 |                9 |               3 |
| design art                           |           397 |          31674 |               10 |               5 |
| baldwin                              |           344 |          29873 |               11 |               6 |
| hansgrohe                            |            58 |          20244 |               12 |              24 |
| american standard                    |           107 |          20030 |               13 |              16 |
| pioneer                              |           119 |          18843 |               14 |              14 |
| axor                                 |            34 |          16549 |               15 |              34 |
| emtek                                |           127 |          14224 |               16 |              13 |
| la toscana                           |            36 |          13420 |               17 |              32 |
| kwikset                              |           336 |          12539 |               18 |               7 |
| danze                                |            84 |          11663 |               19 |              20 |
| schock                               |            17 |           8429 |               20 |              46 |
| whitehaus collection                 |            44 |           8017 |               21 |              28 |
| pfister                              |            49 |           7618 |               22 |              25 |
| delta                                |            18 |           7257 |               23 |              45 |
| symmons                              |            36 |           6523 |               24 |              32 |
| 3m                                   |           117 |           6028 |               25 |              15 |
| ultraloq                             |            32 |           5278 |               26 |              35 |
| whitehaus                            |            15 |           5262 |               27 |              48 |
| franke                               |            16 |           5201 |               28 |              47 |
| pioneer faucets                      |            29 |           4757 |               29 |              37 |
| waterstone                           |             6 |           4300 |               30 |              57 |
| mr direct                            |            15 |           4094 |               31 |              48 |
| inox                                 |            10 |           4014 |               32 |              53 |
| keeney manufacturing                 |           186 |           3962 |               33 |              10 |
| carlisle                             |            38 |           3947 |               34 |              31 |
| kraus                                |            17 |           3791 |               35 |              46 |
| yosemite home decor                  |            29 |           3729 |               36 |              37 |
| notrax                               |            45 |           3563 |               37 |              27 |
| blanco                               |            17 |           3485 |               38 |              46 |
| artos                                |             9 |           3402 |               39 |              54 |
| design house                         |            68 |           2917 |               40 |              23 |
| ultra faucets                        |            40 |           2660 |               41 |              29 |
| cifial                               |             7 |           2602 |               42 |              56 |
| milocks                              |            31 |           2538 |               43 |              36 |
| elkay                                |            12 |           2456 |               44 |              51 |
| westbrass                            |            28 |           2130 |               45 |              38 |
| ariel                                |            20 |           1980 |               46 |              43 |
| viegb                                |             2 |           1958 |               47 |              61 |
| just manufacturing                   |             3 |           1779 |               48 |              60 |
| deltana                              |            45 |           1765 |               49 |              27 |
| gator grip                           |             9 |           1671 |               50 |              54 |
| weslock                              |            39 |           1653 |               51 |              30 |
| cleveland faucets                    |            19 |           1575 |               52 |              44 |
| taco                                 |            40 |           1544 |               53 |              29 |
| prime-line products                  |            44 |           1509 |               54 |              28 |
| dawn                                 |            15 |           1493 |               55 |              48 |
| rubbermaid commercial products       |            35 |           1487 |               56 |              33 |
| toto                                 |             6 |           1470 |               57 |              57 |
| bellaterra home                      |             8 |           1271 |               58 |              55 |
| the copper factory                   |            31 |           1198 |               59 |              36 |
| master lock                          |            77 |           1186 |               60 |              21 |
| notrax floor matting                 |            15 |           1183 |               61 |              48 |
| slide-co                             |           103 |           1173 |               62 |              17 |
| lockey usa                           |             8 |           1148 |               63 |              55 |
| fluid faucets                        |             3 |           1132 |               64 |              60 |
| elements of design                   |            21 |           1077 |               65 |              42 |
| national hardware                    |           177 |           1009 |               66 |              11 |
| guardian                             |            15 |            993 |               67 |              48 |
| the hillman group                    |            95 |            942 |               68 |              19 |
| sinkology                            |             4 |            915 |               69 |              59 |
| soss                                 |            18 |            895 |               70 |              45 |
| ambassador marine                    |            32 |            873 |               71 |              35 |
| heavy metal                          |             3 |            863 |               72 |              60 |
| uxcell                               |            49 |            821 |               73 |              25 |
| scotchblue                           |            28 |            815 |               74 |              38 |
| honeywell safes & door locks         |            10 |            807 |               75 |              53 |
| mintcraft                            |            22 |            797 |               76 |              41 |
| the andersen company                 |            17 |            736 |               77 |              46 |
| copper creek                         |            21 |            704 |               78 |              42 |
| hardware house                       |             8 |            682 |               79 |              55 |
| estora                               |             6 |            676 |               80 |              57 |
| mountain plumbing                    |             2 |            674 |               81 |              61 |
| novatto                              |             4 |            649 |               82 |              59 |
| transolid                            |             9 |            637 |               83 |              54 |
| homewerks worldwide                  |             8 |            636 |               84 |              55 |
| fun furnishings                      |             4 |            634 |               85 |              59 |
| ispring                              |             6 |            611 |               86 |              57 |
| olympia faucets                      |            10 |            602 |               87 |              53 |
| libman commercial                    |            12 |            600 |               88 |              51 |
| brady                                |            19 |            579 |               89 |              44 |
| allied precision industries          |             8 |            577 |               90 |              55 |
| gold medal bean bags                 |             4 |            553 |               91 |              59 |
| prime-line                           |            35 |            547 |               92 |              33 |
| durable corporation                  |            13 |            543 |               93 |              50 |
| brinks                               |            20 |            519 |               94 |              43 |
| soux chief                           |            11 |            518 |               95 |              52 |
| gila                                 |            12 |            516 |               96 |              51 |
| goldenstar                           |             9 |            505 |               97 |              54 |
| ez-flo                               |            16 |            501 |               98 |              47 |
| zing green products                  |            47 |            495 |               99 |              26 |
| premier faucet                       |             6 |            483 |              100 |              57 |
| teflon                               |            16 |            474 |              101 |              47 |
