== Title: Sales Figures for company: Jasmine Sandler: Top Digital Marketing Consultant And Linkedin Trainer == 



== Jasmine Sandler: Top Digital Marketing Consultant And Linkedin Trainer: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2022 |          1935 |         255076 |                1 |               1 |
|   2023 |          1920 |         254579 |                2 |               2 |
|   2021 |          1876 |         244392 |                3 |               3 |

== Jasmine Sandler: Top Digital Marketing Consultant And Linkedin Trainer: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| United States  |          4793 |         627412 |                1 |               1 |
| United Kingdom |           580 |          80271 |                2 |               2 |
| Spain          |           238 |          31095 |                3 |               3 |
| Belgium        |           120 |          15269 |                4 |               4 |

== Jasmine Sandler: Top Digital Marketing Consultant And Linkedin Trainer: Sales Break out by item category == 

| item category     |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:------------------|--------------:|---------------:|-----------------:|----------------:|
| athletic shoes    |          1314 |         174399 |                1 |               1 |
| car care products |          1185 |         156195 |                2 |               2 |
| pants             |          1136 |         146989 |                3 |               3 |
| watches           |          1084 |         146714 |                4 |               4 |
| paint & supplies  |          1012 |         129750 |                5 |               5 |

== Jasmine Sandler: Top Digital Marketing Consultant And Linkedin Trainer: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |           264 |         115274 |                1 |               6 |
| rohl                                 |            80 |          66706 |                2 |              13 |
| kingston brass                       |           461 |          64031 |                3 |               2 |
| nostalgic warehouse                  |           453 |          56695 |                4 |               3 |
| grandeur                             |           241 |          42256 |                5 |               7 |
| delta faucet                         |           269 |          41914 |                6 |               5 |
| schlage lock company                 |           585 |          31844 |                7 |               1 |
| american standard                    |           110 |          26577 |                8 |              10 |
| design art                           |           204 |          18856 |                9 |               8 |
| grohe                                |            50 |          17370 |               10 |              17 |
| kwikset                              |           270 |          16674 |               11 |               4 |
| axor                                 |            27 |          16569 |               12 |              27 |
| moen                                 |            50 |          13886 |               13 |              17 |
| baldwin                              |           150 |          13328 |               14 |               9 |
| emtek                                |           103 |          11970 |               15 |              11 |
| hansgrohe                            |            38 |          11677 |               16 |              22 |
| schock                               |            22 |          11030 |               17 |              31 |
| franke                               |            23 |           8318 |               18 |              30 |
| waterstone                           |            10 |           8122 |               19 |              41 |
| delta                                |            18 |           7385 |               20 |              34 |
| pioneer                              |            44 |           6258 |               21 |              19 |
| kraus                                |            23 |           5743 |               22 |              30 |
| danze                                |            31 |           5675 |               23 |              24 |
| whitehaus collection                 |            30 |           5335 |               24 |              25 |
| pfister                              |            33 |           4927 |               25 |              23 |
| symmons                              |            25 |           4380 |               26 |              29 |
| blanco                               |            18 |           4308 |               27 |              34 |
| whitehaus                            |            13 |           4204 |               28 |              39 |
| 3m                                   |            82 |           4182 |               29 |              12 |
| notrax                               |            49 |           3734 |               30 |              18 |
| artos                                |            13 |           3584 |               31 |              39 |
| elkay                                |            13 |           3012 |               32 |              39 |
| inox                                 |            18 |           3004 |               33 |              34 |
| bellaterra home                      |            18 |           2955 |               34 |              34 |
| westbrass                            |            38 |           2900 |               35 |              22 |
| design house                         |            80 |           2875 |               36 |              13 |
| kwc faucets                          |             5 |           2811 |               37 |              46 |
| pioneer faucets                      |            22 |           2690 |               38 |              31 |
| just manufacturing                   |             5 |           2607 |               39 |              46 |
| milocks                              |            30 |           2515 |               40 |              25 |
| rubbermaid commercial products       |            70 |           2401 |               41 |              14 |
| mr direct                            |             8 |           2231 |               42 |              43 |
| guardian                             |            39 |           2030 |               43 |              21 |
| viegb                                |             2 |           1958 |               44 |              49 |
| keeney manufacturing                 |            31 |           1872 |               45 |              24 |
| weslock                              |            40 |           1809 |               46 |              20 |
| cleanflo                             |            18 |           1783 |               47 |              34 |
| toto                                 |             8 |           1769 |               48 |              43 |
| la toscana                           |             3 |           1328 |               49 |              48 |
| dawn                                 |            11 |           1316 |               50 |              40 |
| durable corporation                  |            23 |           1228 |               51 |              30 |
| yosemite home decor                  |            13 |           1175 |               52 |              39 |
| master lock                          |            51 |           1108 |               53 |              16 |
| carlisle                             |            22 |           1059 |               54 |              31 |
| lockey usa                           |             7 |           1053 |               55 |              44 |
| deltana                              |            28 |           1031 |               56 |              26 |
| ultraloq                             |             6 |           1030 |               57 |              45 |
| brady                                |            31 |           1026 |               58 |              24 |
| slide-co                             |            67 |           1022 |               59 |              15 |
| estora                               |             7 |           1008 |               60 |              44 |
| premier faucet                       |            14 |           1008 |               61 |              38 |
| soss                                 |            16 |            989 |               62 |              36 |
| johnson pumps                        |             5 |            974 |               63 |              46 |
| honeywell safes & door locks         |            11 |            826 |               64 |              40 |
| 3m dual lock                         |             2 |            793 |               65 |              49 |
| enesco                               |            13 |            785 |               66 |              39 |
| ispring                              |             7 |            767 |               67 |              44 |
| fluid faucets                        |             2 |            754 |               68 |              49 |
| builders shoppe                      |            10 |            738 |               69 |              41 |
| sinkology                            |             2 |            710 |               70 |              49 |
| elements of design                   |            19 |            707 |               71 |              33 |
| homewerks worldwide                  |             9 |            698 |               72 |              42 |
| lockstate                            |             8 |            698 |               73 |              43 |
| mountain plumbing                    |             2 |            674 |               74 |              49 |
| prime-line products                  |            28 |            669 |               75 |              26 |
| ultra faucets                        |             7 |            639 |               76 |              44 |
| gator grip                           |             4 |            609 |               77 |              47 |
| fun furnishings                      |             3 |            601 |               78 |              48 |
| t&s brass                            |             4 |            593 |               79 |              47 |
| copper creek                         |            16 |            577 |               80 |              36 |
| cozy sack                            |             3 |            574 |               81 |              48 |
| impact products                      |             5 |            511 |               82 |              46 |
| t.w . evans cordage co.              |            10 |            508 |               83 |              41 |
| notrax floor matting                 |            10 |            482 |               84 |              41 |
| ambassador marine                    |            13 |            476 |               85 |              39 |
| ideal security inc.                  |            18 |            469 |               86 |              34 |
| hardware house                       |             5 |            449 |               87 |              46 |
| transolid                            |             4 |            449 |               88 |              47 |
| aqueous                              |             7 |            445 |               89 |              44 |
| huntington brass                     |             4 |            434 |               90 |              47 |
| mintcraft                            |            16 |            433 |               91 |              36 |
| the andersen company                 |            10 |            433 |               92 |              41 |
| gold medal bean bags                 |             3 |            427 |               93 |              48 |
| the forever cap                      |             2 |            423 |               94 |              49 |
| prime-line                           |            26 |            409 |               95 |              28 |
| seda france                          |            17 |            396 |               96 |              35 |
| grip tight tools                     |             3 |            392 |               97 |              48 |
| tosca                                |             3 |            372 |               98 |              48 |
| brinks                               |            15 |            371 |               99 |              37 |
| the hillman group                    |            38 |            367 |              100 |              22 |
| libman commercial                    |             8 |            360 |              101 |              43 |
| don-jo                               |             5 |            356 |              102 |              46 |
| madison park                         |             2 |            352 |              103 |              49 |
| allied precision industries          |             4 |            346 |              104 |              47 |
| kindred                              |             3 |            334 |              105 |              48 |
| blue devil                           |             5 |            332 |              106 |              46 |
| uxcell                               |            25 |            331 |              107 |              29 |
| cleveland faucets                    |             6 |            324 |              108 |              45 |
| premier pet steps                    |             3 |            309 |              109 |              48 |
| schlage                              |             6 |            308 |              110 |              45 |
| lamp by sugatsune                    |            23 |            301 |              111 |              30 |
| heavy metal                          |             1 |            288 |              112 |              50 |
| vigo                                 |             5 |            287 |              113 |              46 |
| momeni rugs                          |             4 |            287 |              114 |              47 |
| cleveland faucet                     |             3 |            283 |              115 |              48 |
| ultra                                |             2 |            280 |              116 |              49 |
| national hardware                    |            30 |            279 |              117 |              25 |
| defender security                    |            26 |            279 |              118 |              28 |
| goldenstar                           |             4 |            273 |              119 |              47 |
