== Title: Sales Figures for company: K-Point Internet Solutions == 



== K-Point Internet Solutions: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2022 |          4789 |         611472 |                1 |               2 |
|   2021 |          4808 |         603498 |                2 |               1 |
|   2023 |          4692 |         601807 |                3 |               3 |

== K-Point Internet Solutions: Sales Break out by country == 

| country       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------|--------------:|---------------:|-----------------:|----------------:|
| United States |          7979 |        1034218 |                1 |               1 |
| China         |          5632 |         694837 |                2 |               2 |
| South Korea   |           513 |          64733 |                3 |               3 |
| Sweden        |           165 |          22989 |                4 |               4 |

== K-Point Internet Solutions: Sales Break out by item category == 

| item category        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------|--------------:|---------------:|-----------------:|----------------:|
| sportswear           |          5690 |         798622 |                1 |               2 |
| kitchen accessories  |          5741 |         661619 |                2 |               1 |
| bathroom accessories |          1799 |         216018 |                3 |               3 |
| paint & supplies     |          1059 |         140518 |                4 |               4 |

== K-Point Internet Solutions: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kingston brass                       |          2304 |         298281 |                1 |               1 |
| kohler                               |           686 |         182992 |                2 |               4 |
| toto                                 |           246 |         168988 |                3 |              16 |
| rohl                                 |           252 |         140576 |                4 |              15 |
| nostalgic warehouse                  |           948 |         124088 |                5 |               3 |
| schlage lock company                 |          1456 |          91474 |                6 |               2 |
| symmons                              |           364 |          77948 |                7 |              11 |
| grandeur                             |           369 |          63558 |                8 |              10 |
| delta faucet                         |           542 |          62265 |                9 |               6 |
| baldwin                              |           376 |          51494 |               10 |               9 |
| american standard                    |           327 |          47207 |               11 |              13 |
| emtek                                |           549 |          46541 |               12 |               5 |
| design art                           |           329 |          25657 |               13 |              12 |
| honeywell safes & door locks         |           156 |          23013 |               14 |              19 |
| whitehaus collection                 |           110 |          22956 |               15 |              24 |
| hansgrohe                            |            67 |          21561 |               16 |              32 |
| grohe                                |            49 |          19866 |               17 |              38 |
| keeney manufacturing                 |           226 |          18109 |               18 |              17 |
| pfister                              |           102 |          16621 |               19 |              26 |
| kwikset                              |           406 |          16122 |               20 |               8 |
| guardian                             |           292 |          15575 |               21 |              14 |
| axor                                 |            22 |          14778 |               22 |              53 |
| schock                               |            28 |          14688 |               23 |              47 |
| moen                                 |            51 |          14137 |               24 |              37 |
| t&s brass                            |            88 |          13050 |               25 |              28 |
| danze                                |            85 |          13010 |               26 |              29 |
| delta                                |            25 |          11503 |               27 |              50 |
| cifial                               |            23 |          10788 |               28 |              52 |
| whitehaus                            |            32 |           9830 |               29 |              44 |
| ez-set                               |           482 |           9218 |               30 |               7 |
| pioneer                              |            61 |           8128 |               31 |              33 |
| notrax                               |            80 |           6560 |               32 |              31 |
| la toscana                           |            16 |           5817 |               33 |              59 |
| elkay                                |            27 |           4852 |               34 |              48 |
| artos                                |            13 |           4559 |               35 |              62 |
| kraus                                |            20 |           4440 |               36 |              55 |
| legend                               |           136 |           4126 |               37 |              22 |
| idhba                                |           135 |           4056 |               38 |              23 |
| 3m                                   |            83 |           3978 |               39 |              30 |
| seda france                          |           144 |           3961 |               40 |              21 |
| fun furnishings                      |            17 |           3775 |               41 |              58 |
| rubbermaid commercial products       |            58 |           3734 |               42 |              35 |
| design house                         |            93 |           3680 |               43 |              27 |
| milocks                              |            43 |           3632 |               44 |              39 |
| transolid                            |            24 |           3496 |               45 |              51 |
| aqueous                              |            49 |           3411 |               46 |              38 |
| pioneer faucets                      |            19 |           3261 |               47 |              56 |
| slide-co                             |           172 |           3228 |               48 |              18 |
| master lock                          |           145 |           2884 |               49 |              20 |
| franke                               |             9 |           2694 |               50 |              66 |
| mr direct                            |            10 |           2670 |               51 |              65 |
| waterstone                           |             4 |           2381 |               52 |              71 |
| carlisle                             |            35 |           2105 |               53 |              42 |
| inox                                 |             6 |           2065 |               54 |              69 |
| blanco                               |            11 |           2007 |               55 |              64 |
| lockey usa                           |            12 |           1893 |               56 |              63 |
| weslock                              |            37 |           1846 |               57 |              41 |
| westbrass                            |            25 |           1830 |               58 |              50 |
