== Title: Sales Figures for company: Mundella Foods == 



== Mundella Foods: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |          4006 |         480021 |                1 |               1 |
|   2021 |          3980 |         464166 |                2 |               2 |
|   2022 |          3867 |         443591 |                3 |               3 |

== Mundella Foods: Sales Break out by country == 

| country       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------|--------------:|---------------:|-----------------:|----------------:|
| China         |          6640 |         778653 |                1 |               1 |
| United States |          4702 |         549355 |                2 |               2 |
| France        |           511 |          59770 |                3 |               3 |

== Mundella Foods: Sales Break out by item category == 

| item category   |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:----------------|--------------:|---------------:|-----------------:|----------------:|
| athletic shoes  |          4495 |         554306 |                1 |               2 |
| uniform         |          5010 |         532507 |                2 |               1 |
| hand tools      |          2348 |         300965 |                3 |               3 |

== Mundella Foods: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| nostalgic warehouse                  |          1217 |         158068 |                1 |               2 |
| grohe                                |           381 |         150753 |                2 |               8 |
| kohler                               |           349 |         148911 |                3 |              10 |
| kingston brass                       |          1332 |         143263 |                4 |               1 |
| rohl                                 |           112 |          79858 |                5 |              19 |
| grandeur                             |           490 |          79332 |                6 |               5 |
| design art                           |           688 |          73706 |                7 |               4 |
| schlage lock company                 |          1097 |          69414 |                8 |               3 |
| delta faucet                         |           481 |          64040 |                9 |               7 |
| emtek                                |           247 |          28123 |               10 |              11 |
| american standard                    |           174 |          27730 |               11 |              15 |
| kwikset                              |           486 |          23677 |               12 |               6 |
| baldwin                              |           200 |          17860 |               13 |              12 |
| moen                                 |            66 |          16221 |               14 |              29 |
| 3m                                   |           354 |          15610 |               15 |               9 |
| axor                                 |            19 |          15156 |               16 |              53 |
| pfister                              |            98 |          12930 |               17 |              22 |
| schock                               |            22 |          11088 |               18 |              50 |
| milocks                              |           145 |          10934 |               19 |              17 |
| enesco                               |           181 |          10796 |               20 |              14 |
| symmons                              |            47 |           9200 |               21 |              36 |
| whitehaus collection                 |            43 |           8415 |               22 |              37 |
| kraus                                |            60 |           7234 |               23 |              32 |
| delta                                |            16 |           6788 |               24 |              56 |
| lenox                                |            61 |           6580 |               25 |              31 |
| waterstone                           |            10 |           6547 |               26 |              62 |
| hansgrohe                            |            25 |           6226 |               27 |              49 |
| pioneer                              |            37 |           5779 |               28 |              40 |
| weslock                              |           162 |           5693 |               29 |              16 |
| whitehaus                            |            15 |           5586 |               30 |              57 |
| franke                               |            19 |           5541 |               31 |              53 |
| huntington brass                     |            50 |           4791 |               32 |              34 |
| design house                         |           126 |           4789 |               33 |              18 |
| artos                                |            13 |           4669 |               34 |              59 |
| elkay                                |            13 |           4343 |               35 |              59 |
| pioneer faucets                      |            27 |           4226 |               36 |              47 |
| mr direct                            |            15 |           4151 |               37 |              57 |
| 3m dual lock                         |            10 |           3967 |               38 |              62 |
| olympia faucets                      |            86 |           3960 |               39 |              25 |
| notrax                               |            48 |           3695 |               40 |              35 |
| ultraloq                             |            20 |           3536 |               41 |              52 |
| yale                                 |             9 |           3501 |               42 |              63 |
| danze                                |            18 |           3113 |               43 |              54 |
| la toscana                           |             7 |           2985 |               44 |              65 |
| sinkology                            |             9 |           2799 |               45 |              63 |
| just manufacturing                   |             5 |           2786 |               46 |              67 |
| watts premier                        |            31 |           2549 |               47 |              43 |
| cleveland faucets                    |            25 |           2296 |               48 |              49 |
| toto                                 |             8 |           2283 |               49 |              64 |
| lasco                                |           192 |           2259 |               50 |              13 |
| kwc faucets                          |             4 |           2248 |               51 |              68 |
| impact products                      |            22 |           2236 |               52 |              50 |
| westbrass                            |            28 |           2114 |               53 |              46 |
| cifial                               |             6 |           2093 |               54 |              66 |
| purity pool                          |            67 |           2015 |               55 |              28 |
| master lock                          |            91 |           1992 |               56 |              24 |
| viegb                                |             2 |           1958 |               57 |              70 |
| blanco                               |             8 |           1945 |               58 |              64 |
| ambassador marine                    |            60 |           1944 |               59 |              32 |
| inox                                 |             6 |           1882 |               60 |              66 |
| rubbermaid commercial products       |            94 |           1861 |               61 |              23 |
| homewerks worldwide                  |            36 |           1824 |               62 |              41 |
| hillman                              |           111 |           1773 |               63 |              20 |
| ives                                 |            27 |           1635 |               64 |              47 |
| elements of design                   |            50 |           1570 |               65 |              34 |
| prime-line                           |            85 |           1437 |               66 |              26 |
| brinks                               |            53 |           1383 |               67 |              33 |
| guardian                             |            25 |           1363 |               68 |              49 |
| carlisle                             |            29 |           1339 |               69 |              45 |
