== Title: Sales Figures for company: Prosper Business Solutions == 



== Prosper Business Solutions: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2021 |          2014 |         264026 |                1 |               1 |
|   2022 |          2002 |         260974 |                2 |               2 |
|   2023 |          2002 |         250933 |                3 |               2 |

== Prosper Business Solutions: Sales Break out by country == 

| country       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------|--------------:|---------------:|-----------------:|----------------:|
| United States |          5652 |         727253 |                1 |               1 |
| Brazil        |           221 |          29699 |                2 |               2 |
| Mexico        |           145 |          18982 |                3 |               3 |

== Prosper Business Solutions: Sales Break out by item category == 

| item category          |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-----------------------|--------------:|---------------:|-----------------:|----------------:|
| kitchen accessories    |          2184 |         282862 |                1 |               1 |
| hand tools             |          1528 |         194391 |                2 |               2 |
| costumes & accessories |          1123 |         151324 |                3 |               4 |
| drinkware              |          1183 |         147357 |                4 |               3 |

== Prosper Business Solutions: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |           306 |         127080 |                1 |               4 |
| rohl                                 |           100 |          73467 |                2 |              14 |
| kingston brass                       |           499 |          71108 |                3 |               2 |
| nostalgic warehouse                  |           521 |          64311 |                4 |               1 |
| delta faucet                         |           271 |          53799 |                5 |               5 |
| grandeur                             |           231 |          39814 |                6 |               8 |
| schlage lock company                 |           480 |          30601 |                7 |               3 |
| american standard                    |           108 |          22230 |                8 |              12 |
| design art                           |           240 |          19180 |                9 |               6 |
| moen                                 |            55 |          17706 |               10 |              19 |
| baldwin                              |           147 |          14977 |               11 |               9 |
| emtek                                |           119 |          13630 |               12 |              10 |
| grohe                                |            36 |          11697 |               13 |              26 |
| axor                                 |            19 |          11404 |               14 |              37 |
| pfister                              |            74 |           9328 |               15 |              16 |
| kwikset                              |           232 |           9287 |               16 |               7 |
| hansgrohe                            |            35 |           9033 |               17 |              27 |
| artos                                |            24 |           8461 |               18 |              33 |
| delta                                |            17 |           6935 |               19 |              39 |
| symmons                              |            30 |           6021 |               20 |              29 |
| schock                               |            11 |           5328 |               21 |              45 |
| hardware house                       |            57 |           5110 |               22 |              18 |
| 3m                                   |           102 |           5018 |               23 |              13 |
| notrax                               |            57 |           4535 |               24 |              18 |
| milocks                              |            54 |           4476 |               25 |              20 |
| elkay                                |            13 |           4274 |               26 |              43 |
| waterstone                           |             7 |           4122 |               27 |              49 |
| pioneer                              |            24 |           4089 |               28 |              33 |
| whitehaus                            |            11 |           3956 |               29 |              45 |
| pioneer faucets                      |            23 |           3689 |               30 |              34 |
| design house                         |           117 |           3551 |               31 |              11 |
| franke                               |            12 |           3451 |               32 |              44 |
| la toscana                           |             8 |           3181 |               33 |              48 |
| mr direct                            |            11 |           3111 |               34 |              45 |
| viegb                                |             3 |           2937 |               35 |              53 |
| whitehaus collection                 |            15 |           2905 |               36 |              41 |
| kraus                                |            14 |           2788 |               37 |              42 |
| toto                                 |             9 |           2529 |               38 |              47 |
| danze                                |            27 |           2375 |               39 |              31 |
| homewerks worldwide                  |            26 |           2244 |               40 |              32 |
| weslock                              |            45 |           2198 |               41 |              23 |
| inox                                 |             8 |           2181 |               42 |              48 |
| guardian                             |            38 |           2087 |               43 |              25 |
| cifial                               |             5 |           1953 |               44 |              51 |
| just manufacturing                   |             3 |           1779 |               45 |              53 |
| kwc faucets                          |             3 |           1686 |               46 |              53 |
| rubbermaid commercial products       |            38 |           1655 |               47 |              25 |
| notrax floor matting                 |            44 |           1624 |               48 |              24 |
| westbrass                            |            21 |           1597 |               49 |              36 |
| lockey usa                           |            10 |           1467 |               50 |              46 |
| master lock                          |            76 |           1265 |               51 |              15 |
| huntington brass                     |            12 |           1215 |               52 |              44 |
| carlisle                             |            23 |           1214 |               53 |              34 |
| elements of design                   |            29 |           1197 |               54 |              30 |
| fluid faucets                        |             3 |           1132 |               55 |              53 |
| estora                               |             9 |           1098 |               56 |              47 |
| premier faucet                       |            16 |           1087 |               57 |              40 |
| honeywell safes & door locks         |            11 |           1079 |               58 |              45 |
| blanco                               |             5 |           1050 |               59 |              51 |
| dawn                                 |            15 |           1047 |               60 |              41 |
| sinkology                            |             8 |           1036 |               61 |              48 |
| ultra faucets                        |            10 |           1023 |               62 |              46 |
| bellaterra home                      |             8 |            956 |               63 |              48 |
| transolid                            |             8 |            937 |               64 |              48 |
| novatto                              |             6 |            934 |               65 |              50 |
| haviland                             |            38 |            930 |               66 |              25 |
| deltana                              |            27 |            907 |               67 |              31 |
| t&s brass                            |             6 |            890 |               68 |              50 |
| prime-line products                  |            23 |            870 |               69 |              34 |
| slide-co                             |            46 |            832 |               70 |              22 |
| gold medal bean bags                 |             6 |            831 |               71 |              50 |
| 3m dual lock                         |             2 |            793 |               72 |              54 |
| keeney manufacturing                 |            24 |            780 |               73 |              33 |
| yale                                 |             2 |            778 |               74 |              54 |
| durable corporation                  |            16 |            774 |               75 |              40 |
| brady                                |            24 |            754 |               76 |              33 |
| olympia faucets                      |            13 |            723 |               77 |              43 |
| cleveland faucets                    |             9 |            701 |               78 |              47 |
| prime-line                           |            48 |            688 |               79 |              21 |
| ambassador marine                    |            13 |            678 |               80 |              43 |
| aqueous                              |             9 |            648 |               81 |              47 |
| small parts                          |            33 |            644 |               82 |              28 |
| ispring                              |             6 |            611 |               83 |              50 |
| fun furnishings                      |             3 |            601 |               84 |              53 |
| cleanflo                             |             6 |            597 |               85 |              50 |
| zing green products                  |            64 |            586 |               86 |              17 |
| allied precision industries          |             7 |            537 |               87 |              49 |
| dyconn faucet                        |             6 |            528 |               88 |              50 |
| madison park                         |             3 |            527 |               89 |              53 |
| brinks                               |            21 |            515 |               90 |              36 |
| soss                                 |            12 |            512 |               91 |              44 |
| copper creek                         |            18 |            494 |               92 |              38 |
| speakman                             |             5 |            481 |               93 |              51 |
| yosemite home decor                  |             7 |            457 |               94 |              49 |
| cosco                                |            12 |            447 |               95 |              44 |
| goldenstar                           |             8 |            442 |               96 |              48 |
| premier pet steps                    |             4 |            428 |               97 |              52 |
| impact products                      |             4 |            425 |               98 |              52 |
| t.w . evans cordage co.              |             8 |            419 |               99 |              48 |
| lockstate                            |             5 |            408 |              100 |              51 |
| ez-flo                               |            13 |            404 |              101 |              43 |
| scotch                               |            18 |            390 |              102 |              38 |
| vigo                                 |             6 |            388 |              103 |              50 |
| momeni rugs                          |             5 |            383 |              104 |              51 |
| cozy sack                            |             2 |            383 |              105 |              54 |
| sofa sack - bean bags                |             3 |            382 |              106 |              53 |
| y decor                              |             3 |            375 |              107 |              53 |
| premier                              |             3 |            372 |              108 |              53 |
| seda france                          |            17 |            371 |              109 |              39 |
| nuset                                |             6 |            366 |              110 |              50 |
| the hillman group                    |            35 |            349 |              111 |              27 |
| abus lock                            |             6 |            341 |              112 |              50 |
| mariposa                             |             6 |            338 |              113 |              50 |
| kindred                              |             3 |            334 |              114 |              53 |
| uxcell                               |            27 |            317 |              115 |              31 |
| selkirk                              |             2 |            316 |              116 |              54 |
| the andersen company                 |             8 |            313 |              117 |              48 |
| ariel                                |             3 |            297 |              118 |              53 |
| heavy metal                          |             1 |            288 |              119 |              55 |
| ultra                                |             2 |            280 |              120 |              54 |
| frenchi home furnishing              |             7 |            271 |              121 |              49 |
| builders shoppe                      |             5 |            261 |              122 |              51 |
| gift mark                            |             2 |            260 |              123 |              54 |
| enesco                               |             4 |            254 |              124 |              52 |
| segal                                |             3 |            249 |              125 |              53 |
| malish                               |             4 |            248 |              126 |              52 |
| tosca                                |             2 |            248 |              127 |              54 |
| topia                                |             4 |            245 |              128 |              52 |
| big joe                              |             2 |            245 |              129 |              54 |
| schlage                              |             5 |            243 |              130 |              51 |
| dri-eaz                              |             1 |            243 |              131 |              55 |
| ives                                 |             4 |            242 |              132 |              52 |
| yale security                        |             8 |            240 |              133 |              48 |
| ldr industries                       |             6 |            237 |              134 |              50 |
| honeywell                            |             3 |            235 |              135 |              53 |
| innoseal                             |             2 |            230 |              136 |              54 |
| defender security                    |            19 |            228 |              137 |              37 |
| keeney                               |             9 |            226 |              138 |              47 |
| legend                               |            11 |            221 |              139 |              45 |
| national hardware                    |            22 |            219 |              140 |              35 |
| cleveland faucet                     |             3 |            216 |              141 |              53 |
| slipstick                            |            17 |            215 |              142 |              39 |
| flex tape                            |             4 |            215 |              143 |              52 |
| don-jo                               |             3 |            213 |              144 |              53 |
| the forever cap                      |             1 |            211 |              145 |              55 |
| bobrick                              |             4 |            210 |              146 |              52 |
| super sliders                        |            13 |            209 |              147 |              43 |
| soux chief                           |             4 |            209 |              148 |              52 |
| ez-set                               |             4 |            200 |              149 |              52 |
| blue devil                           |             3 |            199 |              150 |              53 |
| everflow                             |             3 |            198 |              151 |              53 |
| idhba                                |             5 |            198 |              152 |              51 |
| sure-loc hardware                    |             2 |            197 |              153 |              54 |
| jed pool tools                       |             4 |            197 |              154 |              52 |
| teflon                               |             7 |            196 |              155 |              49 |
| johnson pumps                        |             1 |            195 |              156 |              55 |
| ideal security inc.                  |             8 |            190 |              157 |              48 |
| heim concept                         |             4 |            187 |              158 |              52 |
| ziploc                               |            15 |            187 |              159 |              41 |
| rubbermaid                           |             4 |            186 |              160 |              52 |
| southco                              |            13 |            184 |              161 |              43 |
| interdesign                          |             7 |            183 |              162 |              49 |
| draft king                           |             2 |            182 |              163 |              54 |
| leifheit                             |             3 |            180 |              164 |              53 |
| ultraloq                             |             1 |            179 |              165 |              55 |
| ariel bath                           |             2 |            178 |              166 |              54 |
| cramer                               |             3 |            176 |              167 |              53 |
| taco                                 |             5 |            166 |              168 |              51 |
| casabella                            |            10 |            165 |              169 |              46 |
| kipp                                 |            12 |            162 |              170 |              44 |
| cs hyde                              |             5 |            160 |              171 |              51 |
| wowwr                                |             2 |            155 |              172 |              54 |
| gator grip                           |             5 |            153 |              173 |              51 |
| wilen professional cleaning products |             4 |            150 |              174 |              52 |
| bissell                              |             5 |            144 |              175 |              51 |
