== Title: Sales Figures for company: Sound Wave Marketing == 



== Sound Wave Marketing: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2021 |          5931 |         619312 |                1 |               1 |
|   2023 |          5854 |         611656 |                2 |               2 |
|   2022 |          5802 |         592895 |                3 |               3 |

== Sound Wave Marketing: Sales Break out by country == 

| country       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------|--------------:|---------------:|-----------------:|----------------:|
| United States |         14219 |        1461012 |                1 |               1 |
| France        |          1591 |         179823 |                2 |               2 |
| South Korea   |           948 |          96648 |                3 |               3 |
| Spain         |           829 |          86379 |                4 |               4 |

== Sound Wave Marketing: Sales Break out by item category == 

| item category        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------|--------------:|---------------:|-----------------:|----------------:|
| drinkware            |          9858 |         924067 |                1 |               1 |
| cooking utensils     |          4200 |         411730 |                2 |               2 |
| pants                |          1211 |         181416 |                3 |               4 |
| casual & dress shoes |          1293 |         170363 |                4 |               3 |
| hats & caps          |          1025 |         136287 |                5 |               5 |

== Sound Wave Marketing: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| schock                               |           546 |         220871 |                1 |              10 |
| kohler                               |           548 |         215850 |                2 |               9 |
| delta faucet                         |          1003 |         153113 |                3 |               5 |
| nostalgic warehouse                  |          1084 |         131203 |                4 |               4 |
| kingston brass                       |           939 |         124909 |                5 |               7 |
| design art                           |          1087 |         105047 |                6 |               3 |
| schlage lock company                 |          1909 |          80570 |                7 |               1 |
| milocks                              |          1096 |          67818 |                8 |               2 |
| rohl                                 |            91 |          66483 |                9 |              27 |
| grandeur                             |           323 |          59974 |               10 |              15 |
| axor                                 |            62 |          51347 |               11 |              38 |
| moen                                 |           334 |          48688 |               12 |              13 |
| notrax                               |           992 |          47965 |               13 |               6 |
| american standard                    |           246 |          36648 |               14 |              17 |
| baldwin                              |           330 |          30801 |               15 |              14 |
| emtek                                |           243 |          30272 |               16 |              18 |
| mountain plumbing                    |            82 |          27643 |               17 |              29 |
| grohe                                |            64 |          25521 |               18 |              36 |
| hansgrohe                            |            67 |          17642 |               19 |              34 |
| 3m                                   |           389 |          17001 |               20 |              11 |
| kwikset                              |           315 |          13724 |               21 |              16 |
| whitehaus collection                 |            63 |          12652 |               22 |              37 |
| pioneer                              |            68 |          11966 |               23 |              33 |
| ccl security products                |           729 |          11351 |               24 |               8 |
| pfister                              |            63 |           9853 |               25 |              37 |
| gift mark                            |            65 |           8442 |               26 |              35 |
| pioneer faucets                      |            46 |           7141 |               27 |              43 |
| danze                                |            52 |           6796 |               28 |              41 |
| keeney manufacturing                 |           194 |           6338 |               29 |              21 |
| waterstone                           |             8 |           6219 |               30 |              70 |
| delta                                |            15 |           5759 |               31 |              63 |
| accuform signs                       |           345 |           4174 |               32 |              12 |
| novatto                              |            20 |           4108 |               33 |              59 |
| design house                         |           151 |           3912 |               34 |              23 |
| whitehaus                            |            10 |           3910 |               35 |              68 |
| franke                               |            11 |           3739 |               36 |              67 |
| symmons                              |            20 |           3623 |               37 |              59 |
| rubbermaid commercial products       |           233 |           3593 |               38 |              19 |
| artos                                |             9 |           3524 |               39 |              69 |
| kraus                                |            14 |           3178 |               40 |              64 |
| bellaterra home                      |            25 |           3164 |               41 |              54 |
| weslock                              |            78 |           3113 |               42 |              31 |
| aiw                                  |            67 |           3058 |               43 |              34 |
| stanley                              |           224 |           2979 |               44 |              20 |
| elements of design                   |           102 |           2937 |               45 |              25 |
| la toscana                           |             7 |           2720 |               46 |              71 |
| blanco                               |            12 |           2472 |               47 |              66 |
| elkay                                |            12 |           2392 |               48 |              66 |
| lockey usa                           |            18 |           2309 |               49 |              60 |
| carlisle                             |            37 |           2274 |               50 |              47 |
| brady                                |            61 |           2164 |               51 |              39 |
| magnolia brush                       |            91 |           2162 |               52 |              27 |
| dawn                                 |            22 |           2120 |               53 |              57 |
| toto                                 |             7 |           2098 |               54 |              71 |
| westbrass                            |            28 |           2053 |               55 |              52 |
| just manufacturing                   |             4 |           2014 |               56 |              74 |
| guardian                             |            40 |           1971 |               57 |              46 |
| viegb                                |             2 |           1958 |               58 |              76 |
| prime-line                           |            97 |           1924 |               59 |              26 |
| the forever cap                      |             9 |           1902 |               60 |              69 |
| master lock                          |           102 |           1860 |               61 |              25 |
| notrax floor matting                 |            44 |           1710 |               62 |              45 |
| dogipot                              |            45 |           1653 |               63 |              44 |
| abus lock                            |            25 |           1579 |               64 |              54 |
| cifial                               |             4 |           1555 |               65 |              74 |
| deltana                              |            46 |           1534 |               66 |              43 |
| the wrap it                          |            73 |           1513 |               67 |              32 |
| sinkology                            |             4 |           1420 |               68 |              74 |
| ambassador marine                    |            46 |           1407 |               69 |              43 |
| hardware house                       |            16 |           1395 |               70 |              62 |
| vigo                                 |            16 |           1389 |               71 |              62 |
| inox                                 |             7 |           1380 |               72 |              71 |
| waste king                           |           246 |           1321 |               73 |              17 |
| estora                               |            10 |           1282 |               74 |              68 |
| homewerks worldwide                  |            15 |           1268 |               75 |              63 |
| frenchi home furnishing              |            27 |           1239 |               76 |              53 |
| steel harbor                         |            54 |           1228 |               77 |              40 |
| slide-co                             |            89 |           1227 |               78 |              28 |
| mr direct                            |             4 |           1190 |               79 |              74 |
| mariposa                             |            23 |           1181 |               80 |              56 |
| prime-line products                  |            36 |           1166 |               81 |              48 |
| fluid faucets                        |             3 |           1132 |               82 |              75 |
| legend                               |           163 |           1104 |               83 |              22 |
| southco                              |           147 |           1085 |               84 |              24 |
| uxcell                               |            80 |           1055 |               85 |              30 |
| honeywell safes & door locks         |            14 |            986 |               86 |              64 |
| gold medal bean bags                 |             7 |            970 |               87 |              71 |
| premier faucet                       |            12 |            883 |               88 |              66 |
| brinks                               |            33 |            868 |               89 |              49 |
| copper creek                         |            27 |            848 |               90 |              53 |
| gator grip                           |             6 |            845 |               91 |              72 |
| libman commercial                    |            17 |            803 |               92 |              61 |
| mintcraft                            |            20 |            782 |               93 |              59 |
| soss                                 |            15 |            773 |               94 |              63 |
| dyconn faucet                        |             8 |            761 |               95 |              70 |
| casabella                            |            45 |            738 |               96 |              44 |
| fun furnishings                      |             4 |            734 |               97 |              74 |
| cleveland faucets                    |            15 |            697 |               98 |              63 |
| chill sack                           |             3 |            695 |               99 |              75 |
| dundas jafine                        |            14 |            688 |              100 |              64 |
| cleveland faucet                     |             8 |            687 |              101 |              70 |
| transolid                            |             7 |            677 |              102 |              71 |
| ez-flo                               |            22 |            653 |              103 |              57 |
| ultra faucets                        |             6 |            645 |              104 |              72 |
| lockstate                            |             7 |            601 |              105 |              71 |
| cleanflo                             |             6 |            595 |              106 |              72 |
| the hillman group                    |            50 |            575 |              107 |              42 |
| ideal security inc.                  |            22 |            572 |              108 |              57 |
