== Title: Sales Figures for company: Straight Line Contracting Llc == 



== Straight Line Contracting Llc: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |          2020 |         286610 |                1 |               1 |
|   2022 |          1974 |         274813 |                2 |               3 |
|   2021 |          2001 |         269623 |                3 |               2 |

== Straight Line Contracting Llc: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| United States  |          3218 |         452877 |                1 |               1 |
| China          |          2294 |         307158 |                2 |               2 |
| United Kingdom |           392 |          57993 |                3 |               3 |
| Poland         |            91 |          13019 |                4 |               4 |

== Straight Line Contracting Llc: Sales Break out by item category == 

| item category          |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-----------------------|--------------:|---------------:|-----------------:|----------------:|
| costumes & accessories |          1303 |         215377 |                1 |               1 |
| kitchen accessories    |          1173 |         157632 |                2 |               4 |
| pants                  |          1209 |         157602 |                3 |               2 |
| sandals                |          1174 |         155960 |                4 |               3 |
| drinkware              |          1136 |         144476 |                5 |               5 |

== Straight Line Contracting Llc: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |           271 |         132155 |                1 |               5 |
| kingston brass                       |           549 |          72210 |                2 |               1 |
| rohl                                 |            90 |          67370 |                3 |              12 |
| nostalgic warehouse                  |           502 |          59873 |                4 |               3 |
| delta faucet                         |           313 |          59268 |                5 |               4 |
| moen                                 |            98 |          48258 |                6 |              11 |
| grandeur                             |           220 |          39778 |                7 |               8 |
| schlage lock company                 |           518 |          31850 |                8 |               2 |
| grohe                                |            56 |          22694 |                9 |              18 |
| design art                           |           223 |          19298 |               10 |               7 |
| baldwin                              |           178 |          17918 |               11 |               9 |
| franke                               |            35 |          15539 |               12 |              24 |
