== Title: Sales Figures for company: Texas Va Mortgage == 



== Texas Va Mortgage: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2022 |          4797 |         671800 |                1 |               1 |
|   2021 |          4762 |         660407 |                2 |               3 |
|   2023 |          4790 |         659533 |                3 |               2 |

== Texas Va Mortgage: Sales Break out by country == 

| country      |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------|--------------:|---------------:|-----------------:|----------------:|
| China        |         11022 |        1521230 |                1 |               1 |
| Canada       |          2669 |         376792 |                2 |               2 |
| Saudi Arabia |           658 |          93717 |                3 |               3 |

== Texas Va Mortgage: Sales Break out by item category == 

| item category             |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------------------|--------------:|---------------:|-----------------:|----------------:|
| bedding sets & components |          7346 |        1130767 |                1 |               1 |
| sporting goods            |          3578 |         419621 |                2 |               2 |
| pants                     |          1239 |         167697 |                3 |               3 |
| table linens              |          1186 |         146618 |                4 |               4 |
| drinkware                 |          1000 |         127038 |                5 |               5 |

== Texas Va Mortgage: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |           665 |         227334 |                1 |               8 |
| waterstone                           |           384 |         219219 |                2 |              10 |
| nostalgic warehouse                  |          1426 |         180923 |                3 |               2 |
| baldwin                              |           681 |         156780 |                4 |               7 |
| rohl                                 |           251 |         142517 |                5 |              12 |
| kingston brass                       |           998 |         142100 |                6 |               3 |
| grandeur                             |           689 |         130056 |                7 |               6 |
| axor                                 |            96 |         102372 |                8 |              24 |
| delta faucet                         |           731 |          91251 |                9 |               5 |
| schlage lock company                 |          1999 |          74022 |               10 |               1 |
| franke                               |           173 |          67405 |               11 |              17 |
| kwikset                              |           921 |          33463 |               12 |               4 |
| design art                           |           436 |          31037 |               13 |               9 |
| grohe                                |            67 |          21965 |               14 |              30 |
| elkay                                |            43 |          21802 |               15 |              37 |
| moen                                 |            71 |          21722 |               16 |              29 |
| artos                                |            33 |          20352 |               17 |              43 |
