== Title: Sales Figures for company: United Container Machinery Group Inc. == 



== United Container Machinery Group Inc.: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |          1953 |         255061 |                1 |               1 |
|   2022 |          1924 |         252255 |                2 |               2 |
|   2021 |          1858 |         228503 |                3 |               3 |

== United Container Machinery Group Inc.: Sales Break out by country == 

| country       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------|--------------:|---------------:|-----------------:|----------------:|
| United States |          3255 |         413012 |                1 |               1 |
| China         |          2283 |         296175 |                2 |               2 |
| Switzerland   |            89 |          13538 |                3 |               4 |
| Turkey        |           108 |          13094 |                4 |               3 |

== United Container Machinery Group Inc.: Sales Break out by item category == 

| item category          |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-----------------------|--------------:|---------------:|-----------------:|----------------:|
| accessories            |          1282 |         163735 |                1 |               1 |
| watches                |          1222 |         156583 |                2 |               2 |
| sporting goods         |          1124 |         144294 |                3 |               3 |
| storage & organization |          1104 |         139015 |                4 |               4 |
| table linens           |          1003 |         132191 |                5 |               5 |

== United Container Machinery Group Inc.: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |           251 |         107748 |                1 |               5 |
| kingston brass                       |           550 |          76650 |                2 |               1 |
| nostalgic warehouse                  |           482 |          59723 |                3 |               3 |
| rohl                                 |            83 |          53010 |                4 |              14 |
| delta faucet                         |           239 |          43244 |                5 |               6 |
| grandeur                             |           235 |          42276 |                6 |               7 |
| schlage lock company                 |           488 |          30102 |                7 |               2 |
| grohe                                |            49 |          20114 |                8 |              20 |
| moen                                 |            63 |          18143 |                9 |              17 |
| american standard                    |           108 |          16217 |               10 |              11 |
| baldwin                              |           147 |          15350 |               11 |               9 |
| axor                                 |            20 |          14739 |               12 |              35 |
| kwikset                              |           260 |          14237 |               13 |               4 |
| design art                           |           177 |          13959 |               14 |               8 |
| emtek                                |           105 |          12973 |               15 |              12 |
| danze                                |            67 |          12594 |               16 |              16 |
