== Title: Sales Figures for country: China == 



== China: Sales Break out by company == 

| company                               |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| Texas Va Mortgage                     |         11022 |        1521230 |                1 |               1 |
| Henties Juices                        |          7759 |        1024327 |                2 |               2 |
| Mundella Foods                        |          6640 |         778653 |                3 |               3 |
| K-Point Internet Solutions            |          5632 |         694837 |                4 |               4 |
| Busby Metals Limited                  |          4424 |         623717 |                5 |               5 |
| Lewis Commercial General Contractors  |          4408 |         570133 |                6 |               6 |
| 2Connect Presentation Training        |          3391 |         458152 |                7 |               7 |
| Straight Line Contracting Llc         |          2294 |         307158 |                8 |               8 |
| United Container Machinery Group Inc. |          2283 |         296175 |                9 |               9 |
| Sitting Pretty Marketing              |          2054 |         283436 |               10 |              10 |

== China: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |         16565 |        2219211 |                1 |               3 |
|   2021 |         16715 |        2172546 |                2 |               1 |
|   2022 |         16627 |        2166062 |                3 |               2 |

== China: Sales Break out by item category == 

| item category             |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------------------|--------------:|---------------:|-----------------:|----------------:|
| bedding sets & components |          5639 |         865724 |                1 |               1 |
| uniform                   |          4274 |         480863 |                2 |               2 |
| casual & dress shoes      |          3666 |         468642 |                3 |               4 |
| kitchen accessories       |          3943 |         466242 |                4 |               3 |
| sporting goods            |          3166 |         380037 |                5 |               5 |
| sportswear                |          2633 |         367509 |                6 |               6 |
| athletic shoes            |          2486 |         309135 |                7 |               7 |
| pants                     |          2301 |         306618 |                8 |               8 |
| makeup                    |          1879 |         278378 |                9 |              11 |
| drinkware                 |          2101 |         271957 |               10 |               9 |
| storage & organization    |          1629 |         240456 |               11 |              12 |
| table linens              |          1881 |         230984 |               12 |              10 |
| shorts                    |          1509 |         220636 |               13 |              14 |
| sewing and accessories    |          1534 |         214367 |               14 |              13 |
| sandals                   |          1465 |         180677 |               15 |              15 |
| stationery                |          1285 |         165664 |               16 |              17 |
| hand tools                |          1287 |         163835 |               17 |              16 |
| sleepwear                 |          1062 |         142793 |               18 |              18 |
| home decor                |           860 |         115560 |               19 |              20 |
| car parts                 |           901 |         108905 |               20 |              19 |
| costumes & accessories    |           506 |          87281 |               21 |              26 |
| bathroom accessories      |           726 |          84314 |               22 |              21 |
| boots                     |           607 |          82357 |               23 |              22 |
| mobile phone accessories  |           592 |          78664 |               24 |              23 |
| car care products         |           556 |          70916 |               25 |              24 |
| watches                   |           485 |          61955 |               26 |              27 |
| accessories               |           510 |          60938 |               27 |              25 |
| paint & supplies          |           424 |          52412 |               28 |              28 |

== China: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |          2137 |         833549 |                1 |               6 |
| kingston brass                       |          4858 |         638173 |                2 |               2 |
| nostalgic warehouse                  |          4516 |         576844 |                3 |               3 |
| rohl                                 |           726 |         540916 |                4 |              13 |
| delta faucet                         |          2433 |         417177 |                5 |               4 |
| grandeur                             |          1927 |         338158 |                6 |               7 |
| schlage lock company                 |          5071 |         273609 |                7 |               1 |
| baldwin                              |          1632 |         229938 |                8 |               9 |
| grohe                                |           541 |         209205 |                9 |              15 |
| waterstone                           |           334 |         196960 |               10 |              23 |
| design art                           |          1900 |         162102 |               11 |               8 |
| axor                                 |           187 |         149936 |               12 |              40 |
| moen                                 |           415 |         141726 |               13 |              19 |
| american standard                    |           728 |         117108 |               14 |              12 |
| emtek                                |           926 |         102592 |               15 |              10 |
| kwikset                              |          2248 |          91919 |               16 |               5 |
| franke                               |           239 |          82130 |               17 |              34 |
| toto                                 |           139 |          74891 |               18 |              46 |
| symmons                              |           340 |          68701 |               19 |              22 |
| hansgrohe                            |           217 |          65374 |               20 |              37 |
| pfister                              |           453 |          58411 |               21 |              17 |
| schock                               |           109 |          55179 |               22 |              55 |
| pioneer                              |           283 |          45152 |               23 |              29 |
| whitehaus collection                 |           218 |          45080 |               24 |              36 |
| delta                                |           112 |          41806 |               25 |              54 |
| danze                                |           269 |          41432 |               26 |              31 |
| artos                                |            90 |          35970 |               27 |              61 |
| 3m                                   |           774 |          35882 |               28 |              11 |
| elkay                                |           108 |          34792 |               29 |              56 |
| whitehaus                            |            89 |          29437 |               30 |              62 |
