== Title: Sales Figures for country: France == 



== France: Sales Break out by company == 

| company              |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------|--------------:|---------------:|-----------------:|----------------:|
| Sound Wave Marketing |          1591 |         179823 |                1 |               1 |
| Mundella Foods       |           511 |          59770 |                2 |               2 |

== France: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2021 |           693 |          82636 |                1 |               2 |
|   2022 |           721 |          80827 |                2 |               1 |
|   2023 |           688 |          76130 |                3 |               3 |

== France: Sales Break out by item category == 

| item category        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------|--------------:|---------------:|-----------------:|----------------:|
| drinkware            |           920 |          96069 |                1 |               1 |
| cooking utensils     |           359 |          33575 |                2 |               2 |
| athletic shoes       |           194 |          23059 |                3 |               4 |
| uniform              |           204 |          21422 |                4 |               3 |
| pants                |           102 |          19600 |                5 |               7 |
| casual & dress shoes |           111 |          16588 |                6 |               6 |
| hand tools           |           113 |          15289 |                7 |               5 |
| hats & caps          |            99 |          13991 |                8 |               8 |

== France: Sales Break out by brand == 

| brand                            |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                           |            77 |          34807 |                1 |               8 |
| schock                           |            54 |          21702 |                2 |              12 |
| nostalgic warehouse              |           168 |          20490 |                3 |               2 |
| rohl                             |            18 |          17228 |                4 |              21 |
| kingston brass                   |           125 |          15104 |                5 |               3 |
| design art                       |           118 |          11982 |                6 |               4 |
| delta faucet                     |           100 |          10321 |                7 |               6 |
| grandeur                         |            59 |          10129 |                8 |              11 |
| schlage lock company             |           213 |           9674 |                9 |               1 |
| grohe                            |            20 |           8426 |               10 |              20 |
| milocks                          |           117 |           7219 |               11 |               5 |
| moen                             |            31 |           5703 |               12 |              16 |
| axor                             |             6 |           4905 |               13 |              31 |
| baldwin                          |            42 |           4605 |               14 |              14 |
| notrax                           |            94 |           4516 |               15 |               7 |
| emtek                            |            38 |           4407 |               16 |              15 |
| american standard                |            27 |           4121 |               17 |              19 |
| mountain plumbing                |            10 |           3371 |               18 |              27 |
| 3m                               |            60 |           2696 |               19 |              10 |
| hansgrohe                        |            10 |           2581 |               20 |              27 |
| kwikset                          |            53 |           2574 |               21 |              13 |
| whitehaus collection             |             8 |           1751 |               22 |              29 |
| danze                            |             7 |           1554 |               23 |              30 |
| pfister                          |             9 |           1506 |               24 |              28 |
| delta                            |             3 |           1376 |               25 |              34 |
| ccl security products            |            72 |           1102 |               26 |               9 |
| just manufacturing               |             2 |           1007 |               27 |              35 |
| la toscana                       |             3 |            984 |               28 |              34 |
| viegb                            |             1 |            979 |               29 |              36 |
| symmons                          |             4 |            978 |               30 |              33 |
| pioneer                          |             5 |            953 |               31 |              32 |
| inox                             |             2 |            932 |               32 |              35 |
| pioneer faucets                  |             6 |            922 |               33 |              31 |
| rubbermaid commercial products   |            28 |            876 |               34 |              18 |
| 3m dual lock                     |             2 |            793 |               35 |              35 |
| cifial                           |             2 |            593 |               36 |              35 |
| weslock                          |            16 |            592 |               37 |              23 |
| keeney manufacturing             |            17 |            588 |               38 |              22 |
| design house                     |            20 |            477 |               39 |              20 |
| blanco                           |             1 |            469 |               40 |              36 |
| notrax floor matting             |             8 |            430 |               41 |              29 |
| the forever cap                  |             2 |            423 |               42 |              35 |
| huntington brass                 |             4 |            418 |               43 |              33 |
| franke                           |             1 |            396 |               44 |              36 |
| dawn                             |             4 |            367 |               45 |              33 |
| elements of design               |            12 |            362 |               46 |              26 |
| accuform signs                   |            29 |            351 |               47 |              17 |
| ultraloq                         |             2 |            343 |               48 |              35 |
| carlisle                         |             6 |            334 |               49 |              31 |
| lockey usa                       |             2 |            329 |               50 |              35 |
