== Title: Sales Figures for country: Japan == 



== Japan: Sales Break out by company == 

| company                 |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:------------------------|--------------:|---------------:|-----------------:|----------------:|
| Chuo Mitsui Investments |          1426 |         184102 |                1 |               1 |

== Japan: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2021 |           496 |          67505 |                1 |               1 |
|   2022 |           466 |          61066 |                2 |               2 |
|   2023 |           464 |          55531 |                3 |               3 |

== Japan: Sales Break out by item category == 

| item category             |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------------------|--------------:|---------------:|-----------------:|----------------:|
| dinnerware & serveware    |           622 |          80380 |                1 |               1 |
| tops                      |           300 |          41951 |                2 |               2 |
| bedding sets & components |           274 |          34799 |                3 |               3 |
| casual & dress shoes      |           230 |          26972 |                4 |               4 |

== Japan: Sales Break out by brand == 

| brand                            |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                           |            55 |          26558 |                1 |               6 |
| rohl                             |            20 |          17923 |                2 |              14 |
| kingston brass                   |           125 |          16584 |                3 |               1 |
| delta faucet                     |            95 |          14121 |                4 |               4 |
| nostalgic warehouse              |           104 |          12713 |                5 |               3 |
| grandeur                         |            58 |          10431 |                6 |               5 |
| schlage lock company             |           116 |           6207 |                7 |               2 |
| baldwin                          |            49 |           5329 |                8 |               8 |
| american standard                |            28 |           4201 |                9 |              12 |
| moen                             |            23 |           4177 |               10 |              13 |
| emtek                            |            29 |           3459 |               11 |              11 |
| design art                       |            38 |           3443 |               12 |               9 |
| kwikset                          |            53 |           3134 |               13 |               7 |
| grohe                            |             7 |           3043 |               14 |              24 |
| honeywell safes & door locks     |            17 |           2835 |               15 |              15 |
| franke                           |             6 |           2771 |               16 |              25 |
| hansgrohe                        |             8 |           2316 |               17 |              23 |
| pfister                          |            15 |           2160 |               18 |              17 |
| symmons                          |            11 |           2114 |               19 |              20 |
| danze                            |            14 |           1940 |               20 |              18 |
| 3m                               |            31 |           1691 |               21 |              10 |
| schock                           |             3 |           1654 |               22 |              28 |
| artos                            |             2 |           1474 |               23 |              29 |
| bellaterra home                  |             6 |           1355 |               24 |              25 |
| delta                            |             7 |           1277 |               25 |              24 |
| sinkology                        |             4 |           1276 |               26 |              27 |
| waterstone                       |             2 |           1207 |               27 |              29 |
| pioneer                          |             7 |           1086 |               28 |              24 |
| axor                             |             1 |            999 |               29 |              30 |
| cifial                           |             2 |            962 |               30 |              29 |
| kraus                            |             4 |            884 |               31 |              27 |
| whitehaus                        |             2 |            851 |               32 |              29 |
| prime-line products              |            17 |            850 |               33 |              15 |
| design house                     |            20 |            794 |               34 |              14 |
| yale                             |             2 |            778 |               35 |              29 |
| notrax                           |            11 |            771 |               36 |              20 |
| elkay                            |             2 |            725 |               37 |              29 |
| pioneer faucets                  |             4 |            621 |               38 |              27 |
| just manufacturing               |             1 |            593 |               39 |              30 |
| westbrass                        |             7 |            583 |               40 |              24 |
| mr direct                        |             2 |            566 |               41 |              29 |
| kwc faucets                      |             1 |            562 |               42 |              30 |
| whitehaus collection             |             3 |            497 |               43 |              28 |
| cleanflo                         |             5 |            495 |               44 |              26 |
| gator grip                       |             4 |            489 |               45 |              27 |
| 3m dual lock                     |             1 |            397 |               46 |              30 |
| weslock                          |             9 |            382 |               47 |              22 |
| milocks                          |             5 |            381 |               48 |              26 |
| homewerks worldwide              |             3 |            377 |               49 |              28 |
| fluid faucets                    |             1 |            377 |               50 |              30 |
| mountain plumbing                |             1 |            337 |               51 |              30 |
| premier pet steps                |             3 |            332 |               52 |              28 |
| la toscana                       |             1 |            328 |               53 |              30 |
| cleveland faucets                |             5 |            321 |               54 |              26 |
| t&s brass                        |             2 |            297 |               55 |              29 |
| notrax floor matting             |             5 |            290 |               56 |              26 |
| dawn                             |             2 |            280 |               57 |              29 |
| prime-line                       |            16 |            273 |               58 |              16 |
| brady                            |             6 |            258 |               59 |              25 |
| premier faucet                   |             3 |            251 |               60 |              28 |
| premier                          |             2 |            248 |               61 |              29 |
