== Title: Sales Figures for country: South Korea == 



== South Korea: Sales Break out by company == 

| company                    |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------------|--------------:|---------------:|-----------------:|----------------:|
| Sound Wave Marketing       |           948 |          96648 |                1 |               1 |
| K-Point Internet Solutions |           513 |          64733 |                2 |               2 |

== South Korea: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2021 |           535 |          60025 |                1 |               1 |
|   2022 |           455 |          50854 |                2 |               3 |
|   2023 |           471 |          50501 |                3 |               2 |

== South Korea: Sales Break out by item category == 

| item category        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------|--------------:|---------------:|-----------------:|----------------:|
| drinkware            |           535 |          47983 |                1 |               1 |
| sportswear           |           195 |          29137 |                2 |               4 |
| cooking utensils     |           226 |          23052 |                3 |               2 |
| kitchen accessories  |           215 |          21237 |                4 |               3 |
| casual & dress shoes |            63 |          10341 |                5 |               6 |
| pants                |            71 |           8596 |                6 |               5 |
| bathroom accessories |            59 |           7251 |                7 |               7 |
| paint & supplies     |            44 |           7109 |                8 |               9 |
| hats & caps          |            53 |           6675 |                9 |               8 |

== South Korea: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kingston brass                       |           138 |          17780 |                1 |               2 |
| kohler                               |            59 |          15450 |                2 |               7 |
| delta faucet                         |            79 |          11370 |                3 |               4 |
| schock                               |            28 |          11123 |                4 |              14 |
| nostalgic warehouse                  |            82 |          10427 |                5 |               3 |
| rohl                                 |            11 |           9548 |                6 |              22 |
| schlage lock company                 |           153 |           7891 |                7 |               1 |
| toto                                 |            12 |           7811 |                8 |              21 |
| design art                           |            62 |           5510 |                9 |               5 |
| grandeur                             |            26 |           4928 |               10 |              15 |
| american standard                    |            31 |           4390 |               11 |              12 |
| milocks                              |            60 |           3746 |               12 |               6 |
| moen                                 |            25 |           3648 |               13 |              16 |
| baldwin                              |            29 |           3207 |               14 |              13 |
| emtek                                |            32 |           3094 |               15 |              11 |
| symmons                              |            13 |           2951 |               16 |              20 |
| notrax                               |            52 |           2256 |               17 |               8 |
| axor                                 |             3 |           2221 |               18 |              30 |
| grohe                                |             6 |           2153 |               19 |              27 |
| hansgrohe                            |             7 |           2145 |               20 |              26 |
| kwikset                              |            39 |           1492 |               21 |              10 |
| mountain plumbing                    |             4 |           1348 |               22 |              29 |
| pioneer                              |             8 |           1332 |               23 |              25 |
| franke                               |             2 |           1328 |               24 |              31 |
| pfister                              |             9 |           1102 |               25 |              24 |
| 3m                                   |            26 |           1068 |               26 |              15 |
| honeywell safes & door locks         |             7 |            881 |               27 |              26 |
| la toscana                           |             2 |            868 |               28 |              31 |
| gift mark                            |             6 |            779 |               29 |              27 |
| whitehaus collection                 |             4 |            750 |               30 |              29 |
| t&s brass                            |             5 |            742 |               31 |              28 |
| kraus                                |             3 |            714 |               32 |              30 |
| keeney manufacturing                 |            15 |            658 |               33 |              19 |
| carlisle                             |             8 |            650 |               34 |              25 |
| ccl security products                |            41 |            632 |               35 |               9 |
| danze                                |             5 |            615 |               36 |              28 |
| ez-set                               |            23 |            615 |               37 |              17 |
| lockey usa                           |             4 |            569 |               38 |              29 |
| waterstone                           |             1 |            564 |               39 |              32 |
| guardian                             |            11 |            525 |               40 |              22 |
| cifial                               |             1 |            508 |               41 |              32 |
| rubbermaid commercial products       |            20 |            446 |               42 |              18 |
