== Title: Sales Figures for country: Spain == 



== Spain: Sales Break out by company == 

| company                                                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-----------------------------------------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| Sound Wave Marketing                                                   |           829 |          86379 |                1 |               1 |
| Jasmine Sandler: Top Digital Marketing Consultant And Linkedin Trainer |           238 |          31095 |                2 |               2 |

== Spain: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |           387 |          40543 |                1 |               1 |
|   2021 |           349 |          39574 |                2 |               2 |
|   2022 |           331 |          37358 |                3 |               3 |

== Spain: Sales Break out by item category == 

| item category        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------|--------------:|---------------:|-----------------:|----------------:|
| drinkware            |           468 |          43231 |                1 |               1 |
| cooking utensils     |           206 |          23248 |                2 |               2 |
| pants                |           111 |          13100 |                3 |               3 |
| athletic shoes       |            57 |           7648 |                4 |               4 |
| car care products    |            49 |           7411 |                5 |               5 |
| hats & caps          |            49 |           6888 |                6 |               5 |
| casual & dress shoes |            47 |           5656 |                7 |               6 |
| paint & supplies     |            41 |           5197 |                8 |               7 |
| watches              |            39 |           5097 |                9 |               8 |

== Spain: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |            41 |          14815 |                1 |               8 |
| delta faucet                         |            70 |          12311 |                2 |               2 |
| schock                               |            26 |          10666 |                3 |              10 |
| kingston brass                       |            58 |           8668 |                4 |               6 |
| nostalgic warehouse                  |            68 |           8308 |                5 |               3 |
| design art                           |            65 |           6439 |                6 |               4 |
| schlage lock company                 |           124 |           5343 |                7 |               1 |
| rohl                                 |             7 |           4807 |                8 |              20 |
| grandeur                             |            25 |           4112 |                9 |              11 |
| milocks                              |            59 |           3666 |               10 |               5 |
| emtek                                |            19 |           2991 |               11 |              13 |
| axor                                 |             3 |           2689 |               12 |              24 |
| baldwin                              |            24 |           2536 |               13 |              12 |
| notrax                               |            47 |           2354 |               14 |               7 |
| hansgrohe                            |             7 |           2209 |               15 |              20 |
| franke                               |             3 |           1609 |               16 |              24 |
| just manufacturing                   |             3 |           1600 |               17 |              24 |
| american standard                    |            10 |           1563 |               18 |              17 |
| mountain plumbing                    |             4 |           1348 |               19 |              23 |
| kwikset                              |            25 |           1337 |               20 |              11 |
| 3m                                   |            25 |           1330 |               21 |              11 |
| grohe                                |             6 |           1293 |               22 |              21 |
| moen                                 |            13 |           1237 |               23 |              15 |
| danze                                |             9 |           1086 |               24 |              18 |
| symmons                              |             4 |            926 |               25 |              23 |
| whitehaus collection                 |             4 |            843 |               26 |              23 |
| elkay                                |             1 |            679 |               27 |              26 |
| ccl security products                |            37 |            577 |               28 |               9 |
| waterstone                           |             1 |            564 |               29 |              26 |
| pioneer faucets                      |             4 |            545 |               30 |              23 |
| gift mark                            |             3 |            390 |               31 |              24 |
| estora                               |             2 |            346 |               32 |              25 |
| blanco                               |             1 |            314 |               33 |              26 |
| durable corporation                  |             6 |            271 |               34 |              21 |
| keeney manufacturing                 |             8 |            256 |               35 |              19 |
| mr direct                            |             1 |            235 |               36 |              26 |
| chill sack                           |             1 |            232 |               37 |              26 |
| deltana                              |             7 |            210 |               38 |              20 |
| homewerks worldwide                  |             2 |            205 |               39 |              25 |
| pioneer                              |             1 |            204 |               40 |              26 |
| accuform signs                       |            16 |            194 |               41 |              14 |
| weslock                              |             4 |            189 |               42 |              23 |
| libman commercial                    |             4 |            187 |               43 |              23 |
| enesco                               |             3 |            184 |               44 |              24 |
