== Title: Sales Figures for country: Switzerland == 



== Switzerland: Sales Break out by company == 

| company                               |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| Lewis Commercial General Contractors  |           217 |          30850 |                1 |               1 |
| United Container Machinery Group Inc. |            89 |          13538 |                2 |               2 |

== Switzerland: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |           105 |          19186 |                1 |               2 |
|   2022 |            95 |          12734 |                2 |               3 |
|   2021 |           106 |          12469 |                3 |               1 |

== Switzerland: Sales Break out by item category == 

| item category          |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-----------------------|--------------:|---------------:|-----------------:|----------------:|
| sandals                |            54 |           6877 |                1 |               1 |
| car parts              |            40 |           6706 |                2 |               4 |
| home decor             |            44 |           6621 |                3 |               3 |
| pants                  |            46 |           5571 |                4 |               2 |
| sewing and accessories |            33 |           5075 |                5 |               5 |
| accessories            |            22 |           3899 |                6 |               6 |
| watches                |            20 |           2856 |                7 |               8 |
| table linens           |            11 |           2538 |                8 |              10 |
| storage & organization |            21 |           2340 |                9 |               7 |
| sporting goods         |            15 |           1906 |               10 |               9 |

== Switzerland: Sales Break out by brand == 

| brand                          |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                         |            23 |           7978 |                1 |               3 |
| rohl                           |             7 |           4938 |                2 |               9 |
| delta faucet                   |            19 |           4199 |                3 |               5 |
| kingston brass                 |            27 |           3897 |                4 |               1 |
| nostalgic warehouse            |            25 |           3299 |                5 |               2 |
| grandeur                       |            13 |           2533 |                6 |               6 |
| axor                           |             1 |           1316 |                7 |              15 |
| schlage lock company           |            21 |           1239 |                8 |               4 |
| american standard              |             7 |           1204 |                9 |               9 |
| baldwin                        |             9 |           1194 |               10 |               8 |
| schock                         |             2 |           1081 |               11 |              14 |
| grohe                          |             2 |           1054 |               12 |              14 |
| notrax                         |             9 |            685 |               13 |               8 |
| emtek                          |             6 |            679 |               14 |              10 |
| moen                           |             6 |            623 |               15 |              10 |
| pfister                        |             4 |            577 |               16 |              12 |
| kwikset                        |            11 |            552 |               17 |               7 |
| whitehaus                      |             1 |            438 |               18 |              15 |
| homewerks worldwide            |             3 |            426 |               19 |              13 |
| 3m dual lock                   |             1 |            397 |               20 |              15 |
| gift mark                      |             3 |            390 |               21 |              13 |
| design art                     |             6 |            387 |               22 |              10 |
| delta                          |             1 |            359 |               23 |              15 |
| kraus                          |             2 |            333 |               24 |              14 |
| mr direct                      |             1 |            279 |               25 |              15 |
| bellaterra home                |             1 |            245 |               26 |              15 |
| 3m                             |             6 |            228 |               27 |              10 |
| pioneer                        |             1 |            204 |               28 |              15 |
| pioneer faucets                |             1 |            191 |               29 |              15 |
| toto                           |             1 |            183 |               30 |              15 |
| hansgrohe                      |             1 |            181 |               31 |              15 |
| deltana                        |             4 |            180 |               32 |              12 |
| inox                           |             1 |            168 |               33 |              15 |
