== Title: Sales Figures for country: United States == 



== United States: Sales Break out by company == 

| company                                                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-----------------------------------------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| Sound Wave Marketing                                                   |         14219 |        1461012 |                1 |               1 |
| K-Point Internet Solutions                                             |          7979 |        1034218 |                2 |               2 |
| Prosper Business Solutions                                             |          5652 |         727253 |                3 |               3 |
| Jasmine Sandler: Top Digital Marketing Consultant And Linkedin Trainer |          4793 |         627412 |                4 |               4 |
| Mundella Foods                                                         |          4702 |         549355 |                5 |               5 |
| Chuo Mitsui Investments                                                |          4093 |         508519 |                6 |               6 |
| Straight Line Contracting Llc                                          |          3218 |         452877 |                7 |               8 |
| United Container Machinery Group Inc.                                  |          3255 |         413012 |                8 |               7 |
| Sitting Pretty Marketing                                               |          2987 |         401342 |                9 |               9 |
| 2Connect Presentation Training                                         |          2488 |         338244 |               10 |              10 |

== United States: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |         17731 |        2182076 |                1 |               3 |
|   2022 |         17776 |        2177855 |                2 |               2 |
|   2021 |         17879 |        2153313 |                3 |               1 |

== United States: Sales Break out by item category == 

| item category             |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------------------|--------------:|---------------:|-----------------:|----------------:|
| drinkware                 |          9664 |         951463 |                1 |               1 |
| kitchen accessories       |          5907 |         743537 |                2 |               2 |
| sportswear                |          3713 |         520564 |                3 |               3 |
| casual & dress shoes      |          2945 |         380473 |                4 |               5 |
| athletic shoes            |          2917 |         367496 |                5 |               6 |
| pants                     |          2584 |         360464 |                6 |               7 |
| cooking utensils          |          3409 |         331853 |                7 |               4 |
| hand tools                |          2381 |         303018 |                8 |               8 |
| costumes & accessories    |          1755 |         255693 |                9 |              10 |
| dinnerware & serveware    |          1733 |         218665 |               10 |              11 |
| watches                   |          1596 |         211128 |               11 |              12 |
| uniform                   |          1939 |         205402 |               12 |               9 |
| shorts                    |          1321 |         195606 |               13 |              15 |
| paint & supplies          |          1427 |         182623 |               14 |              13 |
| car care products         |          1408 |         178659 |               15 |              14 |
| table linens              |          1012 |         132199 |               16 |              16 |
| bathroom accessories      |           992 |         121696 |               17 |              17 |
| hats & caps               |           824 |         108734 |               18 |              19 |
| tops                      |           878 |         105842 |               19 |              18 |
| bedding sets & components |           776 |          98489 |               20 |              20 |
| accessories               |           732 |          97143 |               21 |              21 |
| stationery                |           711 |          91273 |               22 |              22 |
| sandals                   |           616 |          82141 |               23 |              24 |
| sporting goods            |           657 |          81974 |               24 |              23 |
| storage & organization    |           613 |          72514 |               25 |              25 |
| boots                     |           454 |          58444 |               26 |              26 |
| mobile phone accessories  |           422 |          56150 |               27 |              27 |

== United States: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |          2220 |         875858 |                1 |               6 |
| kingston brass                       |          4937 |         654809 |                2 |               2 |
| nostalgic warehouse                  |          4059 |         506211 |                3 |               3 |
| rohl                                 |           671 |         456173 |                4 |              15 |
| delta faucet                         |          2598 |         424202 |                5 |               4 |
| grandeur                             |          1729 |         307358 |                6 |               7 |
| schlage lock company                 |          5170 |         284014 |                7 |               1 |
| schock                               |           531 |         224444 |                8 |              19 |
| design art                           |          2353 |         212024 |                9 |               5 |
| grohe                                |           441 |         168608 |               10 |              22 |
| american standard                    |           900 |         154596 |               11 |              14 |
| moen                                 |           631 |         145767 |               12 |              16 |
| baldwin                              |          1250 |         133418 |               13 |               9 |
| axor                                 |           170 |         120167 |               14 |              48 |
| emtek                                |          1043 |         112651 |               15 |              12 |
| toto                                 |           184 |         106948 |               16 |              43 |
| kwikset                              |          1696 |          77408 |               17 |               8 |
| milocks                              |          1108 |          72769 |               18 |              10 |
| symmons                              |           362 |          70064 |               19 |              26 |
| hansgrohe                            |           241 |          67480 |               20 |              38 |
| notrax                               |          1078 |          60792 |               21 |              11 |
| pfister                              |           374 |          57148 |               22 |              25 |
| whitehaus collection                 |           254 |          49847 |               23 |              33 |
| 3m                                   |           931 |          42856 |               24 |              13 |
| delta                                |           115 |          40622 |               25 |              62 |
| pioneer                              |           247 |          39920 |               26 |              36 |
| danze                                |           251 |          37838 |               27 |              34 |
