== Title: Sales Figures for item category: athletic shoes == 



== athletic shoes: Sales Break out by company == 

| company                                                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-----------------------------------------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| Mundella Foods                                                         |          4495 |         554306 |                1 |               1 |
| Jasmine Sandler: Top Digital Marketing Consultant And Linkedin Trainer |          1314 |         174399 |                2 |               2 |

== athletic shoes: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |          2008 |         264106 |                1 |               1 |
|   2021 |          1917 |         234104 |                2 |               2 |
|   2022 |          1884 |         230495 |                3 |               3 |

== athletic shoes: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| United States  |          2917 |         367496 |                1 |               1 |
| China          |          2486 |         309135 |                2 |               2 |
| France         |           194 |          23059 |                3 |               3 |
| United Kingdom |           129 |          17304 |                4 |               4 |
| Spain          |            57 |           7648 |                5 |               5 |
| Belgium        |            26 |           4064 |                6 |               6 |

== athletic shoes: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| nostalgic warehouse                  |           689 |          86143 |                1 |               1 |
| kingston brass                       |           497 |          82849 |                2 |               3 |
| kohler                               |           172 |          80768 |                3 |               8 |
| rohl                                 |            83 |          56984 |                4 |              14 |
| grandeur                             |           345 |          55947 |                5 |               5 |
| schlage lock company                 |           524 |          33381 |                6 |               2 |
| kwikset                              |           474 |          29067 |                7 |               4 |
| grohe                                |            68 |          25431 |                8 |              17 |
| delta faucet                         |           155 |          23956 |                9 |               9 |
| american standard                    |           142 |          23554 |               10 |              11 |
| emtek                                |           188 |          21435 |               11 |               6 |
| design art                           |           154 |          13690 |               12 |              10 |
| enesco                               |           180 |          10737 |               13 |               7 |
| pfister                              |            79 |          10147 |               14 |              15 |
| axor                                 |            12 |          10064 |               15 |              43 |
| baldwin                              |           123 |           9249 |               16 |              12 |
| symmons                              |            44 |           8980 |               17 |              21 |
| moen                                 |            37 |           8805 |               18 |              26 |
| schock                               |            15 |           7774 |               19 |              40 |
| whitehaus collection                 |            35 |           7034 |               20 |              28 |
| hansgrohe                            |            20 |           6300 |               21 |              35 |
| waterstone                           |             9 |           5983 |               22 |              46 |
| delta                                |            11 |           4617 |               23 |              44 |
| franke                               |            17 |           4556 |               24 |              38 |
| pioneer                              |            34 |           4435 |               25 |              29 |
