== Title: Sales Figures for item category: bedding sets & components == 



== bedding sets & components: Sales Break out by company == 

| company                 |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:------------------------|--------------:|---------------:|-----------------:|----------------:|
| Texas Va Mortgage       |          7346 |        1130767 |                1 |               1 |
| Chuo Mitsui Investments |          1140 |         144449 |                2 |               2 |

== bedding sets & components: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |          2882 |         429948 |                1 |               1 |
|   2021 |          2818 |         423996 |                2 |               2 |
|   2022 |          2786 |         421272 |                3 |               3 |

== bedding sets & components: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| China          |          5639 |         865724 |                1 |               1 |
| Canada         |          1375 |         212864 |                2 |               2 |
| United States  |           776 |          98489 |                3 |               3 |
| Saudi Arabia   |           332 |          52179 |                4 |               4 |
| Japan          |           274 |          34799 |                5 |               5 |
| United Kingdom |            90 |          11162 |                6 |               6 |

== bedding sets & components: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| waterstone                           |           379 |         214710 |                1 |               8 |
| baldwin                              |           547 |         136968 |                2 |               4 |
| nostalgic warehouse                  |           931 |         120372 |                3 |               2 |
| rohl                                 |           226 |         115454 |                4 |              10 |
| kohler                               |           423 |         110349 |                5 |               7 |
| kingston brass                       |           637 |          92729 |                6 |               3 |
| axor                                 |            51 |          60152 |                7 |              22 |
| franke                               |           151 |          60134 |                8 |              14 |
| delta faucet                         |           469 |          54048 |                9 |               5 |
| schlage lock company                 |          1560 |          50723 |               10 |               1 |
| grandeur                             |           197 |          34200 |               11 |              11 |
| design art                           |           292 |          21729 |               12 |               9 |
| elkay                                |            34 |          18845 |               13 |              26 |
| rubbermaid commercial products       |            59 |          14163 |               14 |              21 |
| schock                               |            22 |          12468 |               15 |              32 |
| kwikset                              |           437 |          12262 |               16 |               6 |
| milocks                              |           112 |           9575 |               17 |              16 |
| emtek                                |            74 |           8816 |               18 |              18 |
| grohe                                |            33 |           8610 |               19 |              27 |
| design house                         |           189 |           8585 |               20 |              12 |
| american standard                    |            62 |           7694 |               21 |              20 |
| pfister                              |           168 |           6838 |               22 |              13 |
| delta                                |            27 |           5494 |               23 |              30 |
| moen                                 |            20 |           5200 |               24 |              34 |
| symmons                              |            30 |           4405 |               25 |              28 |
| whitehaus collection                 |            16 |           3989 |               26 |              38 |
| olympia faucets                      |            68 |           3755 |               27 |              19 |
| master lock                          |            43 |           3702 |               28 |              24 |
| small parts                          |           134 |           3558 |               29 |              15 |
| artos                                |             8 |           3534 |               30 |              46 |
| danze                                |            18 |           3421 |               31 |              36 |
| hansgrohe                            |            12 |           2806 |               32 |              42 |
| sinkology                            |            50 |           2740 |               33 |              23 |
| kraus                                |            10 |           2740 |               34 |              44 |
| 3m                                   |            90 |           2573 |               35 |              17 |
| toto                                 |            15 |           2257 |               36 |              39 |
| just manufacturing                   |             3 |           1779 |               37 |              51 |
| premier pet steps                    |            14 |           1662 |               38 |              40 |
| pioneer faucets                      |             8 |           1368 |               39 |              46 |
| notrax                               |            20 |           1327 |               40 |              34 |
| la toscana                           |             3 |           1196 |               41 |              51 |
| t&s brass                            |             8 |           1186 |               42 |              46 |
| pioneer                              |             7 |           1168 |               43 |              47 |
| scotch                               |            10 |           1098 |               44 |              44 |
| inox                                 |             3 |           1051 |               45 |              51 |
| tosca                                |             8 |            992 |               46 |              46 |
| weslock                              |            21 |            917 |               47 |              33 |
| cifial                               |             2 |            907 |               48 |              52 |
| whitehaus                            |             2 |            851 |               49 |              52 |
| westbrass                            |            11 |            848 |               50 |              43 |
| heim concept                         |            17 |            796 |               51 |              37 |
| 3m dual lock                         |             2 |            793 |               52 |              52 |
| mr direct                            |             3 |            755 |               53 |              51 |
| ispring                              |             7 |            687 |               54 |              47 |
| guardian                             |            11 |            611 |               55 |              43 |
| slide-co                             |            28 |            603 |               56 |              29 |
| johnson pumps                        |             3 |            584 |               57 |              51 |
| lockey usa                           |             4 |            569 |               58 |              50 |
| ultra                                |             4 |            560 |               59 |              50 |
| soss                                 |            15 |            558 |               60 |              39 |
| bellaterra home                      |             4 |            546 |               61 |              50 |
| dawn                                 |             3 |            537 |               62 |              51 |
| durable corporation                  |            14 |            530 |               63 |              40 |
| gator grip                           |             6 |            502 |               64 |              48 |
| prime-line products                  |            33 |            487 |               65 |              27 |
| notrax floor matting                 |            10 |            486 |               66 |              44 |
| elements of design                   |            13 |            479 |               67 |              41 |
| blanco                               |             3 |            449 |               68 |              51 |
| maxi                                 |            10 |            435 |               69 |              44 |
| cramer                               |             7 |            410 |               70 |              47 |
| wright products                      |            35 |            408 |               71 |              25 |
| yale                                 |             1 |            389 |               72 |              53 |
| dyconn faucet                        |             4 |            380 |               73 |              50 |
| fluid faucets                        |             1 |            377 |               74 |              53 |
| fun furnishings                      |             2 |            367 |               75 |              52 |
| cleveland faucets                    |             7 |            364 |               76 |              47 |
| builders shoppe                      |             5 |            345 |               77 |              49 |
| mountain plumbing                    |             1 |            337 |               78 |              53 |
| home dynamix                         |             4 |            335 |               79 |              50 |
| honeywell safes & door locks         |             3 |            320 |               80 |              51 |
| ultra faucets                        |             4 |            318 |               81 |              50 |
| deltana                              |            10 |            317 |               82 |              44 |
| carlisle                             |             5 |            305 |               83 |              49 |
