== Title: Sales Figures for item category: boots == 



== boots: Sales Break out by company == 

| company                        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------|--------------:|---------------:|-----------------:|----------------:|
| 2Connect Presentation Training |          1086 |         144623 |                1 |               1 |

== boots: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |           365 |          51062 |                1 |               1 |
|   2021 |           361 |          48369 |                2 |               2 |
|   2022 |           360 |          45192 |                3 |               3 |

== boots: Sales Break out by country == 

| country       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------|--------------:|---------------:|-----------------:|----------------:|
| China         |           607 |          82357 |                1 |               1 |
| United States |           454 |          58444 |                2 |               2 |
| Brazil        |            25 |           3821 |                3 |               3 |

== boots: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |            46 |          23517 |                1 |               5 |
| kingston brass                       |           108 |          13722 |                2 |               1 |
| nostalgic warehouse                  |            88 |          10833 |                3 |               2 |
| delta faucet                         |            55 |          10571 |                4 |               4 |
| grandeur                             |            42 |           5931 |                5 |               6 |
| schlage lock company                 |            88 |           5707 |                6 |               2 |
| rohl                                 |             9 |           5354 |                7 |              16 |
| hansgrohe                            |            17 |           5350 |                8 |              11 |
| design art                           |            64 |           5235 |                9 |               3 |
| grohe                                |            15 |           4453 |               10 |              13 |
| axor                                 |             5 |           4161 |               11 |              19 |
| baldwin                              |            33 |           3797 |               12 |               8 |
| american standard                    |            16 |           3410 |               13 |              12 |
| pfister                              |            21 |           3300 |               14 |               9 |
| moen                                 |             7 |           2559 |               15 |              17 |
| emtek                                |            17 |           2104 |               16 |              11 |
| whitehaus                            |             5 |           1830 |               17 |              19 |
| whitehaus collection                 |             9 |           1753 |               18 |              16 |
| schock                               |             3 |           1530 |               19 |              21 |
| kwikset                              |            36 |           1467 |               20 |               7 |
| elkay                                |             4 |           1450 |               21 |              20 |
| delta                                |             4 |           1345 |               22 |              20 |
| danze                                |            10 |           1307 |               23 |              15 |
| pioneer                              |             7 |           1277 |               24 |              17 |
| symmons                              |             6 |           1215 |               25 |              18 |
| franke                               |             3 |            966 |               26 |              21 |
| toto                                 |             2 |            874 |               27 |              22 |
| 3m                                   |            20 |            820 |               28 |              10 |
| artos                                |             2 |            749 |               29 |              22 |
| kwc faucets                          |             1 |            562 |               30 |              23 |
