== Title: Sales Figures for item category: car care products == 



== car care products: Sales Break out by company == 

| company                                                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-----------------------------------------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| Jasmine Sandler: Top Digital Marketing Consultant And Linkedin Trainer |          1185 |         156195 |                1 |               1 |
| 2Connect Presentation Training                                         |          1012 |         125289 |                2 |               2 |

== car care products: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |           767 |          99519 |                1 |               1 |
|   2021 |           709 |          94983 |                2 |               3 |
|   2022 |           721 |          86983 |                3 |               2 |

== car care products: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| United States  |          1408 |         178659 |                1 |               1 |
| China          |           556 |          70916 |                2 |               2 |
| United Kingdom |           127 |          18019 |                3 |               3 |
| Spain          |            49 |           7411 |                4 |               4 |
| Brazil         |            36 |           4028 |                5 |               5 |
| Belgium        |            21 |           2453 |                6 |               6 |

== car care products: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |            90 |          40412 |                1 |               6 |
| nostalgic warehouse                  |           200 |          25802 |                2 |               2 |
| rohl                                 |            33 |          24723 |                3 |              12 |
| kingston brass                       |           174 |          23127 |                4 |               3 |
| delta faucet                         |           112 |          17826 |                5 |               4 |
| grandeur                             |            85 |          14675 |                6 |               7 |
| schlage lock company                 |           225 |          12573 |                7 |               1 |
| grohe                                |            27 |           8840 |                8 |              15 |
| design art                           |            92 |           7791 |                9 |               5 |
| moen                                 |            23 |           7161 |               10 |              16 |
| emtek                                |            51 |           6074 |               11 |              10 |
| american standard                    |            32 |           5386 |               12 |              13 |
| baldwin                              |            56 |           5346 |               13 |               9 |
| axor                                 |             6 |           4481 |               14 |              28 |
| franke                               |            10 |           3633 |               15 |              24 |
| kwikset                              |            82 |           3316 |               16 |               8 |
| schock                               |             6 |           2963 |               17 |              28 |
| hansgrohe                            |            11 |           2827 |               18 |              23 |
| waterstone                           |             3 |           2545 |               19 |              31 |
| pfister                              |            18 |           2464 |               20 |              18 |
