== Title: Sales Figures for item category: costumes & accessories == 



== costumes & accessories: Sales Break out by company == 

| company                       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:------------------------------|--------------:|---------------:|-----------------:|----------------:|
| Straight Line Contracting Llc |          1303 |         215377 |                1 |               1 |
| Prosper Business Solutions    |          1123 |         151324 |                2 |               2 |

== costumes & accessories: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2021 |           840 |         128556 |                1 |               1 |
|   2023 |           796 |         124856 |                2 |               2 |
|   2022 |           790 |         113289 |                3 |               3 |

== costumes & accessories: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| United States  |          1755 |         255693 |                1 |               1 |
| China          |           506 |          87281 |                2 |               2 |
| United Kingdom |            74 |          11343 |                3 |               3 |
| Brazil         |            43 |           6895 |                4 |               4 |
| Mexico         |            28 |           2868 |                5 |               5 |
| Poland         |            20 |           2621 |                6 |               6 |

== costumes & accessories: Sales Break out by brand == 

| brand                            |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                           |           129 |          69398 |                1 |               4 |
| moen                             |            57 |          34497 |                2 |              10 |
| kingston brass                   |           211 |          28887 |                3 |               2 |
| nostalgic warehouse              |           226 |          26886 |                4 |               1 |
| rohl                             |            41 |          26161 |                5 |              11 |
| delta faucet                     |           119 |          22003 |                6 |               5 |
| grandeur                         |           104 |          17374 |                7 |               7 |
| la toscana                       |            30 |          14357 |                8 |              15 |
| schlage lock company             |           181 |          10379 |                9 |               3 |
| design art                       |           108 |           9009 |               10 |               6 |
| hansgrohe                        |            30 |           9000 |               11 |              15 |
| grohe                            |            22 |           6277 |               12 |              17 |
| baldwin                          |            62 |           6256 |               13 |               9 |
| american standard                |            33 |           5292 |               14 |              13 |
| axor                             |             8 |           4745 |               15 |              28 |
| emtek                            |            32 |           4232 |               16 |              14 |
| kwikset                          |            87 |           3945 |               17 |               8 |
| schock                           |             5 |           2800 |               18 |              31 |
| blanco                           |             7 |           2758 |               19 |              29 |
| elkay                            |             7 |           2732 |               20 |              29 |
| waterstone                       |             3 |           2545 |               21 |              33 |
| kraus                            |            11 |           2363 |               22 |              25 |
| pioneer faucets                  |            14 |           2339 |               23 |              22 |
| toto                             |             4 |           2264 |               24 |              32 |
| symmons                          |            15 |           2157 |               25 |              21 |
| delta                            |             5 |           1978 |               26 |              31 |
| whitehaus                        |             5 |           1795 |               27 |              31 |
| homewerks worldwide              |            20 |           1791 |               28 |              18 |
| pfister                          |            11 |           1787 |               29 |              25 |
| pioneer                          |            11 |           1733 |               30 |              25 |
| 3m                               |            35 |           1699 |               31 |              12 |
| danze                            |             9 |           1333 |               32 |              27 |
| notrax                           |            14 |           1275 |               33 |              22 |
| design house                     |            33 |           1265 |               34 |              13 |
| the andersen company             |            33 |           1221 |               35 |              13 |
| inox                             |             4 |           1133 |               36 |              32 |
| fluid faucets                    |             3 |           1132 |               37 |              33 |
| viegb                            |             1 |            979 |               38 |              35 |
| franke                           |             3 |            810 |               39 |              33 |
| 3m dual lock                     |             2 |            793 |               40 |              34 |
| weslock                          |            16 |            756 |               41 |              20 |
| lockey usa                       |             5 |            724 |               42 |              31 |
| carlisle                         |            10 |            707 |               43 |              26 |
| guardian                         |            10 |            668 |               44 |              26 |
| kwc faucets                      |             1 |            562 |               45 |              35 |
| artos                            |             2 |            551 |               46 |              34 |
| madison park                     |             3 |            527 |               47 |              33 |
| cifial                           |             1 |            508 |               48 |              35 |
| keeney manufacturing             |             7 |            460 |               49 |              29 |
| westbrass                        |             6 |            455 |               50 |              30 |
| novatto                          |             3 |            428 |               51 |              33 |
| milocks                          |             6 |            414 |               52 |              30 |
