== Title: Sales Figures for item category: drinkware == 



== drinkware: Sales Break out by company == 

| company                       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:------------------------------|--------------:|---------------:|-----------------:|----------------:|
| Sound Wave Marketing          |          9858 |         924067 |                1 |               1 |
| Busby Metals Limited          |          1156 |         157075 |                2 |               3 |
| Prosper Business Solutions    |          1183 |         147357 |                3 |               2 |
| Straight Line Contracting Llc |          1136 |         144476 |                4 |               4 |
| Texas Va Mortgage             |          1000 |         127038 |                5 |               5 |

== drinkware: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2022 |          4766 |         501111 |                1 |               2 |
|   2021 |          4817 |         500640 |                2 |               1 |
|   2023 |          4750 |         498262 |                3 |               3 |

== drinkware: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| United States  |          9664 |         951463 |                1 |               1 |
| China          |          2101 |         271957 |                2 |               2 |
| France         |           920 |          96069 |                3 |               3 |
| South Korea    |           535 |          47983 |                4 |               4 |
| Spain          |           468 |          43231 |                5 |               5 |
| Russia         |           220 |          29266 |                6 |               6 |
| Canada         |           186 |          24935 |                7 |               7 |
| United Kingdom |            70 |          11695 |                8 |               8 |
| Netherlands    |            43 |           6158 |                9 |               9 |
| Saudi Arabia   |            40 |           5229 |               10 |              10 |
| Mexico         |            28 |           4848 |               11 |              12 |
| Brazil         |            39 |           4201 |               12 |              11 |
| Poland         |            19 |           2976 |               13 |              13 |

== drinkware: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| schock                               |           546 |         221037 |                1 |               9 |
| kohler                               |           362 |         146357 |                2 |              10 |
| design art                           |          1176 |         112249 |                3 |               2 |
| nostalgic warehouse                  |           849 |         103849 |                4 |               4 |
| kingston brass                       |           731 |         100868 |                5 |               5 |
| schlage lock company                 |          1414 |          69196 |                6 |               1 |
| delta faucet                         |           582 |          63101 |                7 |               8 |
| rohl                                 |            85 |          62708 |                8 |              26 |
| milocks                              |           929 |          57576 |                9 |               3 |
| axor                                 |            62 |          53906 |               10 |              33 |
| grandeur                             |           277 |          50887 |               11 |              14 |
| moen                                 |           334 |          47944 |               12 |              12 |
| american standard                    |           251 |          44280 |               13 |              15 |
| emtek                                |           227 |          28064 |               14 |              17 |
| mountain plumbing                    |            82 |          27643 |               15 |              28 |
| baldwin                              |           247 |          26400 |               16 |              16 |
| notrax                               |           652 |          21284 |               17 |               7 |
| grohe                                |            50 |          19311 |               18 |              36 |
| kwikset                              |           293 |          13384 |               19 |              13 |
| hansgrohe                            |            44 |          11844 |               20 |              40 |
| whitehaus collection                 |            55 |          11809 |               21 |              34 |
| ccl security products                |           726 |          11318 |               22 |               6 |
| pfister                              |            86 |          11169 |               23 |              25 |
| pioneer faucets                      |            45 |           7141 |               24 |              39 |
| artos                                |            18 |           6710 |               25 |              56 |
| franke                               |            16 |           6654 |               26 |              57 |
| 3m                                   |           126 |           5865 |               27 |              22 |
| symmons                              |            27 |           5357 |               28 |              49 |
| pioneer                              |            31 |           5008 |               29 |              46 |
| kraus                                |            21 |           4895 |               30 |              53 |
| danze                                |            37 |           4415 |               31 |              43 |
| accuform signs                       |           349 |           4232 |               32 |              11 |
| elkay                                |            13 |           4206 |               33 |              60 |
| whitehaus                            |            11 |           3873 |               34 |              62 |
| waterstone                           |             6 |           3542 |               35 |              67 |
| design house                         |           115 |           3431 |               36 |              23 |
| elements of design                   |           104 |           3181 |               37 |              24 |
| westbrass                            |            46 |           3078 |               38 |              38 |
| aiw                                  |            65 |           2967 |               39 |              31 |
| stanley                              |           223 |           2966 |               40 |              18 |
| delta                                |             7 |           2961 |               41 |              66 |
| viegb                                |             3 |           2937 |               42 |              70 |
| la toscana                           |             7 |           2892 |               43 |              66 |
| inox                                 |             8 |           2863 |               44 |              65 |
| rubbermaid commercial products       |           219 |           2654 |               45 |              19 |
| blanco                               |             9 |           2537 |               46 |              64 |
| cifial                               |             7 |           2492 |               47 |              66 |
| lockey usa                           |            15 |           2289 |               48 |              58 |
| mr direct                            |             8 |           2198 |               49 |              65 |
| notrax floor matting                 |            43 |           2150 |               50 |              41 |
| weslock                              |            52 |           2041 |               51 |              35 |
| carlisle                             |            30 |           1908 |               52 |              47 |
| toto                                 |             7 |           1655 |               53 |              66 |
| dogipot                              |            44 |           1616 |               54 |              40 |
| just manufacturing                   |             3 |           1600 |               55 |              70 |
| master lock                          |            64 |           1587 |               56 |              32 |
| the wrap it                          |            74 |           1533 |               57 |              29 |
| deltana                              |            47 |           1533 |               58 |              37 |
| ambassador marine                    |            50 |           1522 |               59 |              36 |
| frenchi home furnishing              |            33 |           1477 |               60 |              45 |
| bellaterra home                      |            10 |           1447 |               61 |              63 |
| hardware house                       |            16 |           1407 |               62 |              57 |
| waste king                           |           247 |           1326 |               63 |              16 |
| honeywell safes & door locks         |            13 |           1173 |               64 |              60 |
| yale                                 |             3 |           1167 |               65 |              70 |
| segal                                |            14 |           1164 |               66 |              59 |
| homewerks worldwide                  |            13 |           1098 |               67 |              60 |
| southco                              |           148 |           1076 |               68 |              21 |
| mariposa                             |            21 |           1068 |               69 |              53 |
| legend                               |           161 |           1024 |               70 |              20 |
| keeney manufacturing                 |            22 |           1020 |               71 |              52 |
| uxcell                               |            74 |           1012 |               72 |              29 |
| abus lock                            |            16 |           1008 |               73 |              57 |
| estora                               |             9 |            970 |               74 |              64 |
| slide-co                             |            84 |            953 |               75 |              27 |
| cleveland faucets                    |            15 |            924 |               76 |              58 |
| prime-line products                  |            29 |            896 |               77 |              48 |
| dawn                                 |             8 |            884 |               78 |              65 |
| gator grip                           |             5 |            839 |               79 |              68 |
| 3m dual lock                         |             2 |            793 |               80 |              71 |
| copper creek                         |            24 |            792 |               81 |              50 |
| guardian                             |            19 |            789 |               82 |              55 |
| olympia faucets                      |            14 |            787 |               83 |              59 |
| mintcraft                            |            20 |            773 |               84 |              54 |
| brady                                |            21 |            765 |               85 |              53 |
| fluid faucets                        |             2 |            754 |               86 |              71 |
| ultra faucets                        |             6 |            705 |               87 |              67 |
| allied precision industries          |             8 |            695 |               88 |              65 |
| libman commercial                    |            14 |            664 |               89 |              59 |
| casabella                            |            41 |            659 |               90 |              42 |
| huntington brass                     |             5 |            649 |               91 |              68 |
| pro tapes                            |            68 |            595 |               92 |              30 |
| t&s brass                            |             4 |            593 |               93 |              69 |
| soss                                 |            11 |            573 |               94 |              62 |
| kwc faucets                          |             1 |            562 |               95 |              72 |
| seda france                          |            36 |            546 |               96 |              44 |
| gold medal bean bags                 |             4 |            546 |               97 |              69 |
| ispring                              |             5 |            536 |               98 |              68 |
| prime-line                           |            41 |            534 |               99 |              42 |
| ez-set                               |            10 |            531 |              100 |              63 |
| impact products                      |             5 |            525 |              101 |              68 |
| nuset                                |            11 |            514 |              102 |              62 |
| brinks                               |            20 |            502 |              103 |              54 |
| fun furnishings                      |             3 |            500 |              104 |              70 |
| lockstate                            |             6 |            492 |              105 |              67 |
| premier pet steps                    |             4 |            451 |              106 |              69 |
| the hillman group                    |            45 |            451 |              107 |              39 |
| t.w . evans cordage co.              |             9 |            442 |              108 |              64 |
| schlage                              |             7 |            435 |              109 |              66 |
| teflon                               |            10 |            432 |              110 |              63 |
| scotch                               |            21 |            425 |              111 |              53 |
| premier faucet                       |             6 |            419 |              112 |              67 |
| dyconn faucet                        |             5 |            411 |              113 |              68 |
| ariel                                |             4 |            396 |              114 |              69 |
| transolid                            |             3 |            395 |              115 |              70 |
| ideal security inc.                  |            16 |            391 |              116 |              57 |
| gift mark                            |             3 |            390 |              117 |              70 |
| sofa sack - bean bags                |             3 |            382 |              118 |              70 |
| yosemite home decor                  |             3 |            360 |              119 |              70 |
| ez-flo                               |            15 |            360 |              120 |              58 |
| maxgrade                             |            33 |            349 |              121 |              45 |
| ultraloq                             |             2 |            343 |              122 |              71 |
| super sliders                        |            23 |            342 |              123 |              51 |
| vigo                                 |             4 |            329 |              124 |              69 |
| defender security                    |            24 |            317 |              125 |              50 |
| peerless                             |             4 |            316 |              126 |              69 |
| idhba                                |             8 |            314 |              127 |              65 |
| goldenstar                           |             7 |            313 |              128 |              66 |
| magnolia brush                       |            15 |            309 |              129 |              58 |
| taco                                 |             9 |            293 |              130 |              64 |
| speakman                             |             3 |            289 |              131 |              70 |
| heavy metal                          |             1 |            288 |              132 |              72 |
| momeni rugs                          |             4 |            287 |              133 |              69 |
| sure-loc                             |             5 |            286 |              134 |              68 |
| interdesign                          |             9 |            285 |              135 |              64 |
| the andersen company                 |             7 |            281 |              136 |              66 |
| heim concept                         |             6 |            281 |              137 |              67 |
| small parts                          |            15 |            268 |              138 |              58 |
| grip tight tools                     |             2 |            261 |              139 |              71 |
| furinno                              |             8 |            253 |              140 |              65 |
| cleveland faucet                     |             3 |            249 |              141 |              70 |
| big joe                              |             2 |            245 |              142 |              71 |
| dri-eaz                              |             1 |            243 |              143 |              72 |
| jaclo                                |             3 |            237 |              144 |              70 |
| durable corporation                  |             8 |            237 |              145 |              65 |
| sinkology                            |             3 |            235 |              146 |              70 |
