== Title: Sales Figures for item category: hand tools == 



== hand tools: Sales Break out by company == 

| company                    |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------------|--------------:|---------------:|-----------------:|----------------:|
| Mundella Foods             |          2348 |         300965 |                1 |               1 |
| Prosper Business Solutions |          1528 |         194391 |                2 |               2 |

== hand tools: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2021 |          1322 |         171565 |                1 |               1 |
|   2023 |          1303 |         163785 |                2 |               2 |
|   2022 |          1251 |         160005 |                3 |               3 |

== hand tools: Sales Break out by country == 

| country       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------|--------------:|---------------:|-----------------:|----------------:|
| United States |          2381 |         303018 |                1 |               1 |
| China         |          1287 |         163835 |                2 |               2 |
| France        |           113 |          15289 |                3 |               3 |
| Brazil        |            52 |           7601 |                4 |               4 |
| Mexico        |            43 |           5612 |                5 |               5 |

== hand tools: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |           179 |          81563 |                1 |               4 |
| nostalgic warehouse                  |           399 |          48787 |                2 |               1 |
| rohl                                 |            57 |          47638 |                3 |              12 |
| kingston brass                       |           295 |          42527 |                4 |               3 |
| delta faucet                         |           179 |          32998 |                5 |               4 |
| grandeur                             |           154 |          26569 |                6 |               5 |
| schlage lock company                 |           339 |          20689 |                7 |               2 |
| axor                                 |            17 |          11625 |                8 |              27 |
| baldwin                              |            96 |          11262 |                9 |               8 |
| design art                           |           145 |          11182 |               10 |               6 |
| grohe                                |            22 |           9405 |               11 |              25 |
| american standard                    |            49 |           8911 |               12 |              15 |
| emtek                                |            75 |           7910 |               13 |              10 |
| moen                                 |            24 |           7265 |               14 |              24 |
| hansgrohe                            |            27 |           6039 |               15 |              22 |
| kwikset                              |           136 |           4948 |               16 |               7 |
| hardware house                       |            54 |           4841 |               17 |              13 |
| schock                               |             9 |           4536 |               18 |              35 |
| pfister                              |            24 |           4283 |               19 |              24 |
| waterstone                           |             6 |           4254 |               20 |              38 |
| artos                                |            10 |           3765 |               21 |              34 |
| notrax                               |            43 |           3561 |               22 |              16 |
| ultraloq                             |            18 |           3207 |               23 |              26 |
| delta                                |             8 |           3017 |               24 |              36 |
| whitehaus                            |             8 |           2842 |               25 |              36 |
| elkay                                |             7 |           2796 |               26 |              37 |
| pioneer                              |            16 |           2673 |               27 |              28 |
| franke                               |             6 |           2672 |               28 |              38 |
| 3m                                   |            53 |           2341 |               29 |              14 |
| design house                         |            86 |           2070 |               30 |               9 |
| danze                                |            11 |           1986 |               31 |              33 |
| viegb                                |             2 |           1958 |               32 |              42 |
| symmons                              |            10 |           1881 |               33 |              34 |
| whitehaus collection                 |            11 |           1878 |               34 |              33 |
| mr direct                            |             7 |           1826 |               35 |              37 |
