== Title: Sales Figures for item category: hats & caps == 



== hats & caps: Sales Break out by company == 

| company              |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------|--------------:|---------------:|-----------------:|----------------:|
| Sound Wave Marketing |          1025 |         136287 |                1 |               1 |

== hats & caps: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2021 |           322 |          48840 |                1 |               3 |
|   2022 |           361 |          44814 |                2 |               1 |
|   2023 |           342 |          42633 |                3 |               2 |

== hats & caps: Sales Break out by country == 

| country       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------|--------------:|---------------:|-----------------:|----------------:|
| United States |           824 |         108734 |                1 |               1 |
| France        |            99 |          13991 |                2 |               2 |
| Spain         |            49 |           6888 |                3 |               4 |
| South Korea   |            53 |           6675 |                4 |               3 |

== hats & caps: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |            47 |          22334 |                1 |               6 |
| kingston brass                       |            91 |          10959 |                2 |               2 |
| nostalgic warehouse                  |            85 |          10517 |                3 |               3 |
| delta faucet                         |            51 |          10325 |                4 |               5 |
| rohl                                 |            16 |          10254 |                5 |              11 |
| grandeur                             |            43 |           8513 |                6 |               7 |
| schlage lock company                 |            98 |           7131 |                7 |               1 |
| baldwin                              |            33 |           3919 |                8 |               8 |
| american standard                    |            16 |           3172 |                9 |              11 |
| axor                                 |             5 |           3052 |               10 |              21 |
| moen                                 |            11 |           2958 |               11 |              15 |
| whitehaus collection                 |            14 |           2707 |               12 |              13 |
| emtek                                |            20 |           2387 |               13 |              10 |
| kwikset                              |            52 |           2219 |               14 |               4 |
| grohe                                |             6 |           2168 |               15 |              20 |
| danze                                |             8 |           1913 |               16 |              18 |
| franke                               |             4 |           1721 |               17 |              22 |
| hansgrohe                            |             5 |           1548 |               18 |              21 |
| pfister                              |             9 |           1451 |               19 |              17 |
| symmons                              |             7 |           1309 |               20 |              19 |
| la toscana                           |             3 |           1196 |               21 |              23 |
| 3m                                   |            24 |           1138 |               22 |               9 |
| pioneer                              |             5 |           1045 |               23 |              21 |
| schock                               |             2 |           1017 |               24 |              24 |
| viegb                                |             1 |            979 |               25 |              25 |
| blanco                               |             4 |            951 |               26 |              22 |
| kraus                                |             3 |            913 |               27 |              23 |
| whitehaus                            |             2 |            875 |               28 |              24 |
| pioneer faucets                      |             4 |            669 |               29 |              22 |
| honeywell safes & door locks         |             5 |            633 |               30 |              21 |
| sinkology                            |             1 |            608 |               31 |              25 |
| delta                                |             2 |            602 |               32 |              24 |
| design house                         |            15 |            600 |               33 |              12 |
| dawn                                 |             5 |            582 |               34 |              21 |
| notrax                               |             7 |            444 |               35 |              19 |
| westbrass                            |             5 |            420 |               36 |              21 |
| just manufacturing                   |             1 |            414 |               37 |              25 |
| estora                               |             2 |            346 |               38 |              24 |
| prime-line products                  |             7 |            325 |               39 |              19 |
| mr direct                            |             1 |            294 |               40 |              25 |
| carlisle                             |             6 |            253 |               41 |              20 |
| inox                                 |             2 |            250 |               42 |              24 |
| lockey usa                           |             2 |            250 |               43 |              24 |
| hardware house                       |             3 |            247 |               44 |              23 |
| weslock                              |             6 |            246 |               45 |              20 |
| fun furnishings                      |             1 |            234 |               46 |              25 |
| milocks                              |             3 |            226 |               47 |              23 |
| rubbermaid commercial products       |             7 |            215 |               48 |              19 |
| the forever cap                      |             1 |            211 |               49 |              25 |
| cleanflo                             |             2 |            199 |               50 |              24 |
| johnson pumps                        |             1 |            195 |               51 |              25 |
