== Title: Sales Figures for item category: kitchen accessories == 



== kitchen accessories: Sales Break out by company == 

| company                       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:------------------------------|--------------:|---------------:|-----------------:|----------------:|
| K-Point Internet Solutions    |          5741 |         661619 |                1 |               1 |
| Prosper Business Solutions    |          2184 |         282862 |                2 |               2 |
| Henties Juices                |          1422 |         188670 |                3 |               3 |
| Straight Line Contracting Llc |          1173 |         157632 |                4 |               4 |

== kitchen accessories: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |          3532 |         432809 |                1 |               2 |
|   2021 |          3543 |         432267 |                2 |               1 |
|   2022 |          3445 |         425707 |                3 |               3 |

== kitchen accessories: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| United States  |          5907 |         743537 |                1 |               1 |
| China          |          3943 |         466242 |                2 |               2 |
| South Korea    |           215 |          21237 |                3 |               3 |
| Brazil         |           165 |          20043 |                4 |               4 |
| United Kingdom |            83 |          12368 |                5 |               5 |
| Russia         |            73 |          11364 |                6 |               6 |
| Sweden         |            65 |           6692 |                7 |               7 |
| Mexico         |            46 |           5654 |                8 |               8 |
| Poland         |            23 |           3646 |                9 |               9 |

== kitchen accessories: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |           587 |         195428 |                1 |               4 |
| kingston brass                       |          1129 |         154244 |                2 |               2 |
| rohl                                 |           244 |         146993 |                3 |              12 |
| nostalgic warehouse                  |           683 |          82596 |                4 |               3 |
| schlage lock company                 |          1169 |          63528 |                5 |               1 |
| delta faucet                         |           441 |          58335 |                6 |               6 |
| grandeur                             |           308 |          51193 |                7 |               9 |
| emtek                                |           557 |          48091 |                8 |               5 |
| american standard                    |           313 |          42731 |                9 |               8 |
| grohe                                |            85 |          35065 |               10 |              21 |
| baldwin                              |           230 |          24195 |               11 |              13 |
| whitehaus collection                 |           109 |          22087 |               12 |              18 |
| moen                                 |            71 |          21438 |               13 |              24 |
| design art                           |           287 |          20946 |               14 |              11 |
| hansgrohe                            |            56 |          18481 |               15 |              27 |
| guardian                             |           296 |          16115 |               16 |              10 |
| pfister                              |           109 |          15955 |               17 |              18 |
| axor                                 |            18 |          13993 |               18 |              50 |
| t&s brass                            |            92 |          13644 |               19 |              20 |
| kwikset                              |           330 |          12478 |               20 |               7 |
| danze                                |            93 |          12071 |               21 |              19 |
| schock                               |            22 |          10790 |               22 |              46 |
| delta                                |            24 |           9474 |               23 |              44 |
| symmons                              |            32 |           8210 |               24 |              38 |
| franke                               |            21 |           7395 |               25 |              47 |
| 3m                                   |           144 |           6962 |               26 |              14 |
| whitehaus                            |            16 |           5930 |               27 |              52 |
| elkay                                |            18 |           5776 |               28 |              50 |
| notrax                               |            74 |           5694 |               29 |              23 |
| artos                                |            16 |           5208 |               30 |              52 |
| mr direct                            |            18 |           4924 |               31 |              50 |
| kraus                                |            18 |           4259 |               32 |              50 |
| carlisle                             |            42 |           4220 |               33 |              35 |
| legend                               |           141 |           4207 |               34 |              15 |
| yosemite home decor                  |            33 |           4037 |               35 |              37 |
| keeney manufacturing                 |            77 |           4021 |               36 |              22 |
| honeywell safes & door locks         |            49 |           3736 |               37 |              29 |
| waterstone                           |             5 |           3736 |               38 |              63 |
| pioneer faucets                      |            23 |           3676 |               39 |              45 |
| aqueous                              |            52 |           3597 |               40 |              28 |
| just manufacturing                   |             6 |           3558 |               41 |              62 |
| milocks                              |            42 |           3405 |               42 |              35 |
| seda france                          |           122 |           3380 |               43 |              16 |
| pioneer                              |            21 |           3305 |               44 |              47 |
| design house                         |            92 |           3301 |               45 |              20 |
| la toscana                           |             7 |           2852 |               46 |              61 |
| cifial                               |             8 |           2742 |               47 |              60 |
| lockey usa                           |            15 |           2368 |               48 |              53 |
| weslock                              |            48 |           2223 |               49 |              30 |
| rubbermaid commercial products       |            44 |           2088 |               50 |              33 |
| notrax floor matting                 |            33 |           2024 |               51 |              37 |
| master lock                          |           114 |           1936 |               52 |              17 |
| westbrass                            |            28 |           1919 |               53 |              41 |
