== Title: Sales Figures for item category: makeup == 



== makeup: Sales Break out by company == 

| company        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| Henties Juices |          2095 |         319855 |                1 |               1 |

== makeup: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2021 |           692 |         114816 |                1 |               2 |
|   2023 |           692 |         103179 |                2 |               2 |
|   2022 |           711 |         101860 |                3 |               1 |

== makeup: Sales Break out by country == 

| country   |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:----------|--------------:|---------------:|-----------------:|----------------:|
| China     |          1879 |         278378 |                1 |               1 |
| Russia    |           107 |          22315 |                2 |               3 |
| Brazil    |           109 |          19161 |                3 |               2 |

== makeup: Sales Break out by brand == 

| brand                            |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------------------|--------------:|---------------:|-----------------:|----------------:|
| rohl                             |            64 |          74358 |                1 |               8 |
| nostalgic warehouse              |           347 |          52249 |                2 |               1 |
| delta faucet                     |           102 |          22718 |                3 |               5 |
| kingston brass                   |           159 |          21896 |                4 |               3 |
| kohler                           |            40 |          18610 |                5 |              11 |
| moen                             |            23 |          13245 |                6 |              18 |
| la toscana                       |            31 |          11357 |                7 |              13 |
| design art                       |           138 |           9964 |                8 |               4 |
| grandeur                         |            52 |           9465 |                9 |              10 |
| hansgrohe                        |            25 |           9416 |               10 |              17 |
| grohe                            |            21 |           9087 |               11 |              19 |
| schlage lock company             |           101 |           6450 |               12 |               6 |
| baldwin                          |            95 |           5765 |               13 |               7 |
| american standard                |            29 |           4675 |               14 |              14 |
| keeney manufacturing             |           163 |           3246 |               15 |               2 |
| emtek                            |            28 |           2994 |               16 |              15 |
| pfister                          |            14 |           2548 |               17 |              24 |
| axor                             |             3 |           2202 |               18 |              32 |
| ariel                            |            18 |           1782 |               19 |              20 |
| schock                           |             3 |           1588 |               20 |              32 |
| kwikset                          |            54 |           1533 |               21 |               9 |
| ultra faucets                    |            26 |           1498 |               22 |              16 |
| 3m                               |            21 |           1432 |               23 |              19 |
| taco                             |            37 |           1428 |               24 |              12 |
| pioneer                          |            10 |           1424 |               25 |              26 |
| symmons                          |             6 |           1157 |               26 |              29 |
| kraus                            |             4 |           1058 |               27 |              31 |
| danze                            |             5 |           1049 |               28 |              30 |
| franke                           |             4 |           1045 |               29 |              31 |
| viegb                            |             1 |            979 |               30 |              34 |
| cifial                           |             2 |            962 |               31 |              33 |
| whitehaus                        |             3 |            953 |               32 |              32 |
| inox                             |             2 |            932 |               33 |              33 |
| whitehaus collection             |             5 |            898 |               34 |              30 |
| mr direct                        |             3 |            797 |               35 |              32 |
| pioneer faucets                  |             5 |            779 |               36 |              30 |
| elkay                            |             2 |            725 |               37 |              33 |
| scotchblue                       |            21 |            677 |               38 |              19 |
| waterstone                       |             1 |            564 |               39 |              34 |
| milocks                          |             6 |            548 |               40 |              29 |
| notrax                           |             7 |            540 |               41 |              28 |
| westbrass                        |             6 |            522 |               42 |              29 |
| delta                            |             1 |            492 |               43 |              34 |
| cleveland faucets                |             6 |            486 |               44 |              29 |
| carlisle                         |             5 |            454 |               45 |              30 |
| bellaterra home                  |             2 |            432 |               46 |              33 |
| weslock                          |            13 |            425 |               47 |              25 |
| soux chief                       |             9 |            408 |               48 |              27 |
| design house                     |            10 |            369 |               49 |              26 |
| teflon                           |            14 |            365 |               50 |              24 |
| transolid                        |             5 |            315 |               51 |              30 |
| master lock                      |            17 |            303 |               52 |              21 |
| mintcraft                        |             6 |            283 |               53 |              29 |
| chill sack                       |             1 |            232 |               54 |              34 |
| ispring                          |             2 |            230 |               55 |              33 |
| flex tape                        |             4 |            215 |               56 |              31 |
| the forever cap                  |             1 |            211 |               57 |              34 |
| deltana                          |             5 |            206 |               58 |              30 |
| prime-line products              |            15 |            179 |               59 |              23 |
| rubbermaid commercial products   |             6 |            179 |               60 |              29 |
| madison park                     |             1 |            176 |               61 |              34 |
| premier faucet                   |             2 |            173 |               62 |              33 |
| hardware house                   |             2 |            167 |               63 |              33 |
| prime-line                       |            13 |            165 |               64 |              25 |
| ultraloq                         |             1 |            164 |               65 |              34 |
| lockey usa                       |             1 |            164 |               66 |              34 |
| the hillman group                |            16 |            163 |               67 |              22 |
| guardian                         |             3 |            160 |               68 |              32 |
| goldenstar                       |             2 |            158 |               69 |              33 |
