== Title: Sales Figures for item category: mobile phone accessories == 



== mobile phone accessories: Sales Break out by company == 

| company                        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------|--------------:|---------------:|-----------------:|----------------:|
| 2Connect Presentation Training |          1052 |         139496 |                1 |               1 |

== mobile phone accessories: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |           356 |          49366 |                1 |               2 |
|   2021 |           327 |          46324 |                2 |               3 |
|   2022 |           369 |          43805 |                3 |               1 |

== mobile phone accessories: Sales Break out by country == 

| country       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------|--------------:|---------------:|-----------------:|----------------:|
| China         |           592 |          78664 |                1 |               1 |
| United States |           422 |          56150 |                2 |               2 |
| Brazil        |            38 |           4682 |                3 |               3 |

== mobile phone accessories: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |            43 |          18954 |                1 |               7 |
| delta faucet                         |            58 |          13212 |                2 |               4 |
| kingston brass                       |            85 |          11936 |                3 |               3 |
| nostalgic warehouse                  |            90 |          11457 |                4 |               2 |
| grandeur                             |            47 |           8123 |                5 |               6 |
| rohl                                 |             9 |           7058 |                6 |              15 |
| schlage lock company                 |           100 |           6831 |                7 |               1 |
| grohe                                |            15 |           6047 |                8 |              10 |
| design art                           |            53 |           4683 |                9 |               5 |
| moen                                 |            10 |           3119 |               10 |              14 |
| emtek                                |            25 |           3107 |               11 |               9 |
| american standard                    |            14 |           2738 |               12 |              11 |
| franke                               |             6 |           2568 |               13 |              18 |
| baldwin                              |            30 |           2359 |               14 |               8 |
| delta                                |             6 |           2213 |               15 |              18 |
| kwikset                              |            47 |           2202 |               16 |               6 |
| schock                               |             4 |           1860 |               17 |              20 |
| elkay                                |             4 |           1455 |               18 |              20 |
| symmons                              |             6 |           1165 |               19 |              18 |
| waterstone                           |             2 |           1145 |               20 |              22 |
| whitehaus collection                 |             7 |           1105 |               21 |              17 |
| artos                                |             3 |           1092 |               22 |              21 |
| axor                                 |             2 |           1056 |               23 |              22 |
| pfister                              |             8 |            997 |               24 |              16 |
| pioneer faucets                      |             6 |            950 |               25 |              18 |
| pioneer                              |             6 |            926 |               26 |              18 |
| toto                                 |             2 |            876 |               27 |              22 |
| la toscana                           |             2 |            868 |               28 |              22 |
| 3m                                   |            12 |            806 |               29 |              13 |
| hansgrohe                            |             3 |            767 |               30 |              21 |
| kraus                                |             4 |            751 |               31 |              20 |
