== Title: Sales Figures for item category: pants == 



== pants: Sales Break out by company == 

| company                                                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-----------------------------------------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| Sound Wave Marketing                                                   |          1211 |         181416 |                1 |               3 |
| Texas Va Mortgage                                                      |          1239 |         167697 |                2 |               1 |
| Straight Line Contracting Llc                                          |          1209 |         157602 |                3 |               4 |
| Lewis Commercial General Contractors                                   |          1223 |         156959 |                4 |               2 |
| Jasmine Sandler: Top Digital Marketing Consultant And Linkedin Trainer |          1136 |         146989 |                5 |               5 |

== pants: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |          2044 |         284121 |                1 |               1 |
|   2021 |          1969 |         265173 |                2 |               3 |
|   2022 |          2005 |         261368 |                3 |               2 |

== pants: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| United States  |          2584 |         360464 |                1 |               1 |
| China          |          2301 |         306618 |                2 |               2 |
| Canada         |           232 |          35686 |                3 |               3 |
| United Kingdom |           181 |          20180 |                4 |               4 |
| France         |           102 |          19600 |                5 |               8 |
| India          |           163 |          15895 |                6 |               5 |
| Russia         |           124 |          14950 |                7 |               6 |
| Spain          |           111 |          13100 |                8 |               7 |
| South Korea    |            71 |           8596 |                9 |               9 |
| Switzerland    |            46 |           5571 |               10 |              11 |
| Saudi Arabia   |            56 |           5264 |               11 |              10 |
| Belgium        |            32 |           3638 |               12 |              12 |
| Poland         |            15 |           1102 |               13 |              13 |

== pants: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |           302 |         144874 |                1 |               5 |
| kingston brass                       |           540 |          71428 |                2 |               2 |
| rohl                                 |            85 |          71357 |                3 |              13 |
| nostalgic warehouse                  |           450 |          56203 |                4 |               3 |
| delta faucet                         |           308 |          55261 |                5 |               4 |
| grandeur                             |           264 |          48242 |                6 |               6 |
| schlage lock company                 |           541 |          30278 |                7 |               1 |
| moen                                 |            75 |          22630 |                8 |              14 |
| grohe                                |            47 |          18117 |                9 |              20 |
| baldwin                              |           188 |          17110 |               10 |               8 |
| franke                               |            43 |          16573 |               11 |              22 |
| axor                                 |            28 |          15779 |               12 |              33 |
| american standard                    |            87 |          14704 |               13 |              12 |
| emtek                                |           106 |          12430 |               14 |              10 |
| kwikset                              |           248 |          10861 |               15 |               7 |
| delta                                |            22 |           9425 |               16 |              39 |
| pfister                              |            53 |           8331 |               17 |              19 |
| hansgrohe                            |            28 |           8182 |               18 |              33 |
| waterstone                           |             9 |           6783 |               19 |              51 |
| schock                               |            13 |           6681 |               20 |              47 |
