== Title: Sales Figures for item category: sandals == 



== sandals: Sales Break out by company == 

| company                              |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| Lewis Commercial General Contractors |          1370 |         165981 |                1 |               1 |
| Straight Line Contracting Llc        |          1174 |         155960 |                2 |               2 |

== sandals: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2022 |           858 |         117031 |                1 |               2 |
|   2023 |           866 |         111977 |                2 |               1 |
|   2021 |           820 |          92932 |                3 |               3 |

== sandals: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| China          |          1465 |         180677 |                1 |               1 |
| United States  |           616 |          82141 |                2 |               2 |
| India          |           187 |          23693 |                3 |               3 |
| United Kingdom |            84 |          13274 |                4 |               5 |
| Russia         |           124 |          12606 |                5 |               4 |
| Switzerland    |            54 |           6877 |                6 |               6 |
| Poland         |            14 |           2674 |                7 |               7 |

== sandals: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |           101 |          38344 |                1 |               7 |
| kingston brass                       |           220 |          30946 |                2 |               3 |
| nostalgic warehouse                  |           230 |          28778 |                3 |               2 |
| rohl                                 |            37 |          26487 |                4 |              12 |
| delta faucet                         |           117 |          24795 |                5 |               5 |
| pfister                              |            58 |          16074 |                6 |              10 |
| grandeur                             |            92 |          15401 |                7 |               8 |
| schlage lock company                 |           239 |          15265 |                8 |               1 |
| design art                           |           142 |          11472 |                9 |               4 |
| moen                                 |            26 |           8702 |               10 |              15 |
| baldwin                              |            76 |           6567 |               11 |               9 |
| axor                                 |             9 |           6372 |               12 |              28 |
| american standard                    |            35 |           5727 |               13 |              14 |
| grohe                                |            18 |           5539 |               14 |              20 |
| kwikset                              |           108 |           4805 |               15 |               6 |
| emtek                                |            43 |           4707 |               16 |              11 |
| hansgrohe                            |            11 |           3524 |               17 |              26 |
| t&s brass                            |            23 |           3411 |               18 |              17 |
| yale                                 |             7 |           2723 |               19 |              30 |
| waterstone                           |             3 |           2483 |               20 |              34 |
| danze                                |            14 |           2403 |               21 |              23 |
| symmons                              |            13 |           2368 |               22 |              24 |
