== Title: Sales Figures for item category: shorts == 



== shorts: Sales Break out by company == 

| company                        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------|--------------:|---------------:|-----------------:|----------------:|
| 2Connect Presentation Training |          1892 |         283834 |                1 |               1 |
| Sitting Pretty Marketing       |          1137 |         160592 |                2 |               2 |

== shorts: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2022 |          1033 |         161944 |                1 |               1 |
|   2023 |           992 |         144093 |                2 |               3 |
|   2021 |          1004 |         138390 |                3 |               2 |

== shorts: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| China          |          1509 |         220636 |                1 |               1 |
| United States  |          1321 |         195606 |                2 |               2 |
| Brazil         |            63 |          10434 |                3 |               5 |
| India          |            69 |           9583 |                4 |               3 |
| United Kingdom |            67 |           8167 |                5 |               4 |

== shorts: Sales Break out by brand == 

| brand                            |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                           |           231 |         107084 |                1 |               3 |
| delta faucet                     |           205 |          65295 |                2 |               4 |
| kingston brass                   |           286 |          44606 |                3 |               1 |
| rohl                             |            48 |          31434 |                4 |              15 |
| grandeur                         |           116 |          21269 |                5 |               8 |
| nostalgic warehouse              |           169 |          20608 |                6 |               5 |
| schlage lock company             |           246 |          16833 |                7 |               2 |
| moen                             |            30 |          10226 |                8 |              20 |
| design art                       |           145 |           9894 |                9 |               7 |
| grohe                            |            20 |           7171 |               10 |              23 |
| american standard                |            59 |           7015 |               11 |              11 |
| kwikset                          |           157 |           5757 |               12 |               6 |
| baldwin                          |            58 |           5751 |               13 |              12 |
| emtek                            |            39 |           5242 |               14 |              17 |
| axor                             |             7 |           4365 |               15 |              34 |
| mr direct                        |            14 |           3866 |               16 |              27 |
| waterstone                       |             3 |           3258 |               17 |              38 |
| schock                           |             6 |           3103 |               18 |              35 |
| whitehaus collection             |            11 |           2952 |               19 |              30 |
| 3m                               |            52 |           2875 |               20 |              14 |
| hansgrohe                        |             9 |           2634 |               21 |              32 |
| kraus                            |            12 |           2621 |               22 |              29 |
| pioneer                          |            15 |           2395 |               23 |              26 |
| delta                            |             5 |           2395 |               24 |              36 |
| pfister                          |            12 |           2177 |               25 |              29 |
| franke                           |             6 |           2091 |               26 |              35 |
| inox                             |             2 |           1699 |               27 |              39 |
| just manufacturing               |             3 |           1600 |               28 |              38 |
| danze                            |             9 |           1551 |               29 |              32 |
| whitehaus                        |             4 |           1527 |               30 |              37 |
| elkay                            |             6 |           1484 |               31 |              35 |
| cifial                           |             3 |           1470 |               32 |              38 |
