== Title: Sales Figures for item category: sportswear == 



== sportswear: Sales Break out by company == 

| company                    |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------------------|--------------:|---------------:|-----------------:|----------------:|
| K-Point Internet Solutions |          5690 |         798622 |                1 |               1 |
| Sitting Pretty Marketing   |          1055 |         148754 |                2 |               2 |

== sportswear: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2022 |          2240 |         325095 |                1 |               3 |
|   2023 |          2259 |         320711 |                2 |               1 |
|   2021 |          2246 |         301570 |                3 |               2 |

== sportswear: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| United States  |          3713 |         520564 |                1 |               1 |
| China          |          2633 |         367509 |                2 |               2 |
| South Korea    |           195 |          29137 |                3 |               3 |
| Sweden         |            70 |          11325 |                4 |               4 |
| India          |            68 |           9969 |                5 |               5 |
| United Kingdom |            66 |           8871 |                6 |               6 |

== sportswear: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kingston brass                       |          1377 |         175112 |                1 |               1 |
| toto                                 |           245 |         168808 |                2 |               6 |
| symmons                              |           340 |          70460 |                3 |               5 |
| kohler                               |           210 |          66510 |                4 |               9 |
| nostalgic warehouse                  |           541 |          66029 |                5 |               2 |
| schlage lock company                 |           508 |          44994 |                6 |               3 |
| grandeur                             |           224 |          39027 |                7 |               7 |
| baldwin                              |           213 |          33642 |                8 |               8 |
| rohl                                 |            53 |          25497 |                9 |              23 |
| delta faucet                         |           181 |          24328 |               10 |              11 |
| honeywell safes & door locks         |           112 |          19693 |               11 |              15 |
| american standard                    |            71 |          19356 |               12 |              17 |
| keeney manufacturing                 |           176 |          14968 |               13 |              12 |
| design art                           |           163 |          14367 |               14 |              13 |
| moen                                 |            29 |          11009 |               15 |              27 |
| grohe                                |            24 |           8977 |               16 |              29 |
| ez-set                               |           474 |           8850 |               17 |               4 |
| cifial                               |            17 |           8640 |               18 |              34 |
| schock                               |            16 |           8537 |               19 |              35 |
| danze                                |            58 |           8328 |               20 |              20 |
| kwikset                              |           190 |           7635 |               21 |              10 |
| emtek                                |            64 |           7123 |               22 |              18 |
| axor                                 |            11 |           6488 |               23 |              38 |
| hansgrohe                            |            21 |           6282 |               24 |              31 |
| delta                                |            11 |           5193 |               25 |              38 |
| idhba                                |           133 |           3993 |               26 |              14 |
| la toscana                           |            11 |           3965 |               27 |              38 |
| pfister                              |            20 |           3859 |               28 |              32 |
| transolid                            |            20 |           3342 |               29 |              32 |
| whitehaus collection                 |            13 |           3275 |               30 |              36 |
| rubbermaid commercial products       |            35 |           3220 |               31 |              24 |
| elkay                                |            22 |           2221 |               32 |              30 |
| franke                               |             6 |           2170 |               33 |              43 |
| pioneer faucets                      |            12 |           1971 |               34 |              37 |
| notrax                               |            22 |           1735 |               35 |              30 |
| design house                         |            35 |           1644 |               36 |              24 |
| 3m                                   |            31 |           1557 |               37 |              26 |
| slide-co                             |            60 |           1531 |               38 |              19 |
| newlife by gelpro                    |            24 |           1317 |               39 |              29 |
| master lock                          |            72 |           1243 |               40 |              16 |
| pioneer                              |             8 |           1214 |               41 |              41 |
| waterstone                           |             2 |           1207 |               42 |              47 |
| umbra                                |            55 |           1201 |               43 |              21 |
| hardware house                       |            12 |           1077 |               44 |              37 |
| pemko                                |            58 |           1069 |               45 |              20 |
| milocks                              |            13 |           1069 |               46 |              36 |
| carlisle                             |            19 |           1062 |               47 |              33 |
| guardian                             |            19 |           1010 |               48 |              33 |
| inox                                 |             2 |            932 |               49 |              47 |
| gator grip                           |            12 |            885 |               50 |              37 |
| weslock                              |            16 |            880 |               51 |              35 |
| dyconn faucet                        |             9 |            877 |               52 |              40 |
| yale                                 |             2 |            778 |               53 |              47 |
| fluid faucets                        |             2 |            754 |               54 |              47 |
| soss                                 |            12 |            712 |               55 |              37 |
| sinkology                            |             2 |            710 |               56 |              47 |
| westbrass                            |             9 |            708 |               57 |              40 |
| mr direct                            |             3 |            695 |               58 |              46 |
| huntington brass                     |             6 |            654 |               59 |              43 |
| artos                                |             4 |            640 |               60 |              45 |
| prime-line products                  |            32 |            594 |               61 |              25 |
| kwc faucets                          |             1 |            562 |               62 |              48 |
| kraus                                |             3 |            459 |               63 |              46 |
| frenchi home furnishing              |            10 |            457 |               64 |              39 |
| the hillman group                    |            54 |            448 |               65 |              22 |
| bellaterra home                      |             3 |            440 |               66 |              46 |
| ultra faucets                        |             3 |            433 |               67 |              46 |
| deltana                              |            12 |            423 |               68 |              37 |
| lockey usa                           |             3 |            414 |               69 |              46 |
| whitehaus                            |             1 |            414 |               70 |              48 |
| borhn                                |            22 |            386 |               71 |              30 |
| ispring                              |             3 |            386 |               72 |              46 |
| cozy sack                            |             2 |            383 |               73 |              47 |
| fun furnishings                      |             2 |            367 |               74 |              47 |
| builders shoppe                      |             5 |            362 |               75 |              44 |
| ultraloq                             |             2 |            358 |               76 |              47 |
| elements of design                   |             9 |            353 |               77 |              40 |
| estora                               |             2 |            346 |               78 |              47 |
| olympia faucets                      |             7 |            345 |               79 |              42 |
| mountain plumbing                    |             1 |            337 |               80 |              48 |
| premier faucet                       |             5 |            331 |               81 |              44 |
| peerless                             |             4 |            316 |               82 |              45 |
| robelle                              |             6 |            302 |               83 |              43 |
| durable corporation                  |             5 |            281 |               84 |              44 |
| notrax floor matting                 |             3 |            280 |               85 |              46 |
| ideal security inc.                  |            10 |            275 |               86 |              39 |
| the andersen company                 |             6 |            274 |               87 |              43 |
| ambassador marine                    |             8 |            271 |               88 |              41 |
| copper creek                         |             9 |            267 |               89 |              40 |
| lockstate                            |             3 |            264 |               90 |              46 |
| allied precision industries          |             3 |            246 |               91 |              46 |
| big joe                              |             2 |            245 |               92 |              47 |
| innoseal                             |             2 |            230 |               93 |              47 |
| novatto                              |             1 |            221 |               94 |              48 |
| lenox                                |             2 |            216 |               95 |              47 |
| yosemite home decor                  |             4 |            214 |               96 |              45 |
| the forever cap                      |             1 |            211 |               97 |              48 |
| performance tool                     |             7 |            205 |               98 |              42 |
| blanco                               |             2 |            200 |               99 |              47 |
| homewerks worldwide                  |             3 |            199 |              100 |              46 |
| dawn                                 |             2 |            195 |              101 |              47 |
| heim concept                         |             4 |            187 |              102 |              45 |
| brady                                |             9 |            187 |              103 |              40 |
| cleveland faucets                    |             3 |            179 |              104 |              46 |
| libman commercial                    |             4 |            169 |              105 |              45 |
| goldenstar                           |             4 |            168 |              106 |              45 |
| ldr industries                       |             3 |            168 |              107 |              46 |
| t.w . evans cordage co.              |             3 |            155 |              108 |              46 |
| t&s brass                            |             1 |            148 |              109 |              48 |
| don-jo                               |             2 |            142 |              110 |              47 |
| ultra                                |             1 |            140 |              111 |              48 |
| prime-line                           |            10 |            138 |              112 |              39 |
| slipstick                            |            12 |            133 |              113 |              37 |
| blue devil                           |             2 |            133 |              114 |              47 |
| gift mark                            |             1 |            130 |              115 |              48 |
| sofa sack - bean bags                |             1 |            127 |              116 |              48 |
| nuset                                |             2 |            126 |              117 |              47 |
| y decor                              |             1 |            125 |              118 |              48 |
| premier                              |             1 |            124 |              119 |              48 |
| tosca                                |             1 |            124 |              120 |              48 |
| mintcraft                            |             5 |            119 |              121 |              44 |
| schlage                              |             2 |            117 |              122 |              47 |
| swopt                                |             4 |            115 |              123 |              45 |
| interdesign                          |             5 |            111 |              124 |              44 |
| kindred                              |             1 |            111 |              125 |              48 |
| brinks                               |             5 |            111 |              126 |              44 |
| accuform                             |            25 |            109 |              127 |              28 |
| impact products                      |             1 |            108 |              128 |              48 |
| flex tape                            |             2 |            108 |              129 |              47 |
| defender security                    |             8 |            108 |              130 |              41 |
| abus lock                            |             2 |            105 |              131 |              47 |
| seda france                          |             4 |            103 |              132 |              45 |
| cleanflo                             |             1 |            100 |              133 |              48 |
| dundas jafine                        |             2 |             98 |              134 |              47 |
| speakman                             |             1 |             96 |              135 |              48 |
| premier pet steps                    |             1 |             95 |              136 |              48 |
