== Title: Sales Figures for item category: stationery == 



== stationery: Sales Break out by company == 

| company                  |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------|--------------:|---------------:|-----------------:|----------------:|
| Sitting Pretty Marketing |          1359 |         172191 |                1 |               1 |
| Busby Metals Limited     |          1040 |         131800 |                2 |               2 |

== stationery: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |           801 |         105280 |                1 |               1 |
|   2021 |           800 |         100652 |                2 |               2 |
|   2022 |           798 |          98059 |                3 |               3 |

== stationery: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| China          |          1285 |         165664 |                1 |               1 |
| United States  |           711 |          91273 |                2 |               2 |
| Russia         |           200 |          22714 |                3 |               3 |
| United Kingdom |            85 |          10571 |                4 |               4 |
| India          |            76 |           8831 |                5 |               5 |
| Netherlands    |            42 |           4938 |                6 |               6 |

== stationery: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |            99 |          43846 |                1 |               6 |
| kingston brass                       |           250 |          37150 |                2 |               1 |
| rohl                                 |            36 |          31335 |                3 |              12 |
| nostalgic warehouse                  |           227 |          30200 |                4 |               2 |
| grandeur                             |           113 |          18618 |                5 |               4 |
| delta faucet                         |            95 |          12474 |                6 |               7 |
| schlage lock company                 |           212 |          11858 |                7 |               3 |
| baldwin                              |            92 |           9255 |                8 |               8 |
| design art                           |           112 |           9103 |                9 |               5 |
| moen                                 |            53 |           7680 |               10 |              10 |
| emtek                                |            47 |           5939 |               11 |              11 |
| american standard                    |            35 |           5714 |               12 |              13 |
| grohe                                |            14 |           4263 |               13 |              23 |
| symmons                              |            14 |           3253 |               14 |              23 |
| artos                                |             7 |           3039 |               15 |              30 |
| axor                                 |             5 |           2908 |               16 |              32 |
| kwikset                              |            72 |           2901 |               17 |               9 |
| elkay                                |             8 |           2847 |               18 |              29 |
| waterstone                           |             3 |           2545 |               19 |              34 |
| schock                               |             5 |           2479 |               20 |              32 |
| whitehaus collection                 |            13 |           2455 |               21 |              24 |
| pfister                              |            12 |           1996 |               22 |              25 |
| franke                               |             4 |           1988 |               23 |              33 |
| delta                                |             5 |           1947 |               24 |              32 |
