== Title: Sales Figures for item category: table linens == 



== table linens: Sales Break out by company == 

| company                               |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| Texas Va Mortgage                     |          1186 |         146618 |                1 |               1 |
| United Container Machinery Group Inc. |          1003 |         132191 |                2 |               3 |
| 2Connect Presentation Training        |          1022 |         128192 |                3 |               2 |

== table linens: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |          1076 |         138557 |                1 |               2 |
|   2021 |          1083 |         135162 |                2 |               1 |
|   2022 |          1052 |         133281 |                3 |               3 |

== table linens: Sales Break out by country == 

| country       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------|--------------:|---------------:|-----------------:|----------------:|
| China         |          1881 |         230984 |                1 |               1 |
| United States |          1012 |         132199 |                2 |               2 |
| Canada        |           212 |          29830 |                3 |               3 |
| Saudi Arabia  |            54 |           7573 |                4 |               4 |
| Switzerland   |            11 |           2538 |                5 |               7 |
| Brazil        |            23 |           2072 |                6 |               5 |
| Turkey        |            18 |           1804 |                7 |               6 |

== table linens: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |           132 |          56622 |                1 |               6 |
| kingston brass                       |           316 |          41371 |                2 |               2 |
| nostalgic warehouse                  |           268 |          33488 |                3 |               3 |
| rohl                                 |            44 |          31617 |                4 |              13 |
| delta faucet                         |           166 |          30011 |                5 |               4 |
| grandeur                             |           140 |          25076 |                6 |               5 |
| schlage lock company                 |           350 |          18899 |                7 |               1 |
| axor                                 |            15 |          11146 |                8 |              26 |
| american standard                    |            56 |          10260 |                9 |              10 |
| baldwin                              |            87 |           9967 |               10 |               8 |
| grohe                                |            24 |           9919 |               11 |              18 |
| emtek                                |            66 |           7633 |               12 |               9 |
| moen                                 |            26 |           7285 |               13 |              17 |
| kwikset                              |           124 |           4928 |               14 |               7 |
| schock                               |            10 |           4814 |               15 |              31 |
| franke                               |            11 |           4531 |               16 |              30 |
| pfister                              |            29 |           4419 |               17 |              15 |
| hansgrohe                            |            15 |           4168 |               18 |              26 |
| delta                                |             9 |           4122 |               19 |              32 |
| danze                                |            21 |           3523 |               20 |              20 |
| notrax                               |            39 |           3139 |               21 |              14 |
| whitehaus collection                 |            16 |           3070 |               22 |              25 |
| kraus                                |            14 |           2994 |               23 |              27 |
| 3m                                   |            54 |           2865 |               24 |              11 |
| pioneer                              |            14 |           2668 |               25 |              27 |
| artos                                |             8 |           2532 |               26 |              33 |
| whitehaus                            |             8 |           2506 |               27 |              33 |
| symmons                              |            13 |           2503 |               28 |              28 |
| blanco                               |             9 |           2414 |               29 |              32 |
| elkay                                |             9 |           2319 |               30 |              32 |
| design house                         |            47 |           2043 |               31 |              12 |
| sinkology                            |             5 |           1884 |               32 |              36 |
| waterstone                           |             3 |           1833 |               33 |              38 |
| mr direct                            |             6 |           1769 |               34 |              35 |
| keeney manufacturing                 |            27 |           1719 |               35 |              16 |
| milocks                              |            17 |           1417 |               36 |              24 |
| la toscana                           |             3 |           1328 |               37 |              38 |
| dawn                                 |            11 |           1209 |               38 |              30 |
| westbrass                            |            18 |           1208 |               39 |              23 |
| pioneer faucets                      |             6 |           1037 |               40 |              35 |
| cifial                               |             3 |            992 |               41 |              38 |
| weslock                              |            22 |            927 |               42 |              19 |
| deltana                              |            26 |            878 |               43 |              17 |
| novatto                              |             5 |            870 |               44 |              36 |
| rubbermaid commercial products       |            22 |            860 |               45 |              19 |
| lockey usa                           |             5 |            803 |               46 |              36 |
| honeywell safes & door locks         |             9 |            797 |               47 |              32 |
| 3m dual lock                         |             2 |            793 |               48 |              39 |
| cleveland faucets                    |             9 |            723 |               49 |              32 |
| gator grip                           |             2 |            699 |               50 |              39 |
| gold medal bean bags                 |             5 |            698 |               51 |              36 |
| homewerks worldwide                  |             8 |            645 |               52 |              33 |
| master lock                          |            26 |            622 |               53 |              17 |
| allied precision industries          |             6 |            603 |               54 |              35 |
| fun furnishings                      |             3 |            601 |               55 |              38 |
| t&s brass                            |             4 |            593 |               56 |              37 |
| toto                                 |             5 |            584 |               57 |              36 |
| heavy metal                          |             2 |            575 |               58 |              39 |
| bellaterra home                      |             4 |            568 |               59 |              37 |
| kwc faucets                          |             1 |            562 |               60 |              40 |
| guardian                             |            10 |            557 |               61 |              31 |
| brinks                               |            20 |            535 |               62 |              21 |
| elements of design                   |            14 |            533 |               63 |              27 |
| ultra faucets                        |             5 |            530 |               64 |              36 |
| dri-eaz                              |             2 |            486 |               65 |              39 |
| notrax floor matting                 |             9 |            480 |               66 |              32 |
| soss                                 |             9 |            467 |               67 |              32 |
| durable corporation                  |            12 |            442 |               68 |              29 |
| the forever cap                      |             2 |            423 |               69 |              39 |
| prime-line products                  |            22 |            400 |               70 |              19 |
| cleanflo                             |             4 |            397 |               71 |              37 |
| carlisle                             |             7 |            392 |               72 |              34 |
| ideal security inc.                  |            16 |            391 |               73 |              25 |
| johnson pumps                        |             2 |            390 |               74 |              39 |
| dyconn faucet                        |             5 |            388 |               75 |              36 |
| cozy sack                            |             2 |            383 |               76 |              39 |
| slide-co                             |            21 |            380 |               77 |              20 |
| inox                                 |             4 |            366 |               78 |              37 |
| transolid                            |             2 |            362 |               79 |              39 |
| copper creek                         |            10 |            361 |               80 |              31 |
