== Title: Sales Figures for item category: tops == 



== tops: Sales Break out by company == 

| company                 |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:------------------------|--------------:|---------------:|-----------------:|----------------:|
| Chuo Mitsui Investments |          1303 |         169062 |                1 |               1 |

== tops: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2021 |           449 |          60573 |                1 |               1 |
|   2022 |           443 |          59560 |                2 |               2 |
|   2023 |           411 |          48928 |                3 |               3 |

== tops: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| United States  |           878 |         105842 |                1 |               1 |
| Japan          |           300 |          41951 |                2 |               2 |
| United Kingdom |           125 |          21269 |                3 |               3 |

== tops: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |            58 |          32061 |                1 |               6 |
| kingston brass                       |           137 |          20375 |                2 |               1 |
| nostalgic warehouse                  |           102 |          12121 |                3 |               3 |
| rohl                                 |            12 |           9815 |                4 |              19 |
| delta faucet                         |            53 |           8671 |                5 |               7 |
| grandeur                             |            45 |           8665 |                6 |               8 |
| schlage lock company                 |           119 |           6299 |                7 |               2 |
| design art                           |            65 |           5589 |                8 |               4 |
| grohe                                |            13 |           4248 |                9 |              18 |
| bellaterra home                      |            17 |           4170 |               10 |              15 |
| american standard                    |            25 |           3880 |               11 |              11 |
| moen                                 |            10 |           3728 |               12 |              21 |
| kwikset                              |            61 |           2906 |               13 |               5 |
| baldwin                              |            23 |           2716 |               14 |              12 |
| axor                                 |             2 |           2383 |               15 |              28 |
| schock                               |             4 |           1875 |               16 |              26 |
| pfister                              |            12 |           1841 |               17 |              19 |
| franke                               |             4 |           1744 |               18 |              26 |
| emtek                                |            15 |           1666 |               19 |              16 |
| delta                                |             4 |           1512 |               20 |              26 |
| symmons                              |             5 |           1384 |               21 |              25 |
| elkay                                |             2 |           1295 |               22 |              28 |
| hansgrohe                            |             5 |           1159 |               23 |              25 |
| pioneer                              |             7 |           1104 |               24 |              23 |
| cifial                               |             3 |           1047 |               25 |              27 |
| viegb                                |             1 |            979 |               26 |              29 |
| whitehaus                            |             3 |            978 |               27 |              27 |
| fun furnishings                      |             4 |            936 |               28 |              26 |
| inox                                 |             2 |            932 |               29 |              28 |
| elements of design                   |            36 |            849 |               30 |               9 |
| design house                         |            22 |            824 |               31 |              13 |
| 3m                                   |            15 |            794 |               32 |              16 |
