== Title: Sales Figures for item category: uniform == 



== uniform: Sales Break out by company == 

| company        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| Mundella Foods |          5010 |         532507 |                1 |               1 |
| Henties Juices |          1568 |         195067 |                2 |               2 |

== uniform: Sales Break out by year == 

|   year |   sales_count |   sales_amount |   rank by amount |   rank by count |
|-------:|--------------:|---------------:|-----------------:|----------------:|
|   2023 |          2201 |         244442 |                1 |               2 |
|   2021 |          2214 |         243964 |                2 |               1 |
|   2022 |          2163 |         239169 |                3 |               3 |

== uniform: Sales Break out by country == 

| country       |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------|--------------:|---------------:|-----------------:|----------------:|
| China         |          4274 |         480863 |                1 |               1 |
| United States |          1939 |         205402 |                2 |               2 |
| France        |           204 |          21422 |                3 |               3 |
| Russia        |            87 |          11681 |                4 |               4 |
| Brazil        |            74 |           8206 |                5 |               5 |

== uniform: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| grohe                                |           317 |         125922 |                1 |               6 |
| kingston brass                       |           968 |          80526 |                2 |               1 |
| kohler                               |           223 |          73309 |                3 |               8 |
| design art                           |           596 |          66541 |                4 |               3 |
| nostalgic warehouse                  |           473 |          63598 |                5 |               4 |
| delta faucet                         |           336 |          39287 |                6 |               5 |
| schlage lock company                 |           632 |          36494 |                7 |               2 |
| rohl                                 |            37 |          26273 |                8 |              26 |
| grandeur                             |           126 |          21017 |                9 |              12 |
| american standard                    |            66 |          16221 |               10 |              17 |
| 3m                                   |           283 |          12454 |               11 |               7 |
| baldwin                              |            96 |           9873 |               12 |              14 |
| pioneer                              |            50 |           8991 |               13 |              22 |
| milocks                              |            94 |           8212 |               14 |              15 |
| emtek                                |            59 |           6705 |               15 |              20 |
| lenox                                |            61 |           6580 |               16 |              19 |
| hansgrohe                            |            18 |           6297 |               17 |              36 |
| kwikset                              |           152 |           5919 |               18 |              10 |
| moen                                 |            26 |           5508 |               19 |              32 |
| schock                               |            11 |           5399 |               20 |              43 |
| kraus                                |            20 |           4977 |               21 |              34 |
| weslock                              |           141 |           4927 |               22 |              11 |
| axor                                 |             7 |           4857 |               23 |              47 |
| delta                                |             8 |           4006 |               24 |              46 |
| olympia faucets                      |            81 |           3622 |               25 |              16 |
