== Title: Sales Figures for year: 2021 == 



== 2021: Sales Break out by company == 

| company                                                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-----------------------------------------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| Texas Va Mortgage                                                      |          4762 |         660407 |                1 |               3 |
| Sound Wave Marketing                                                   |          5931 |         619312 |                2 |               1 |
| K-Point Internet Solutions                                             |          4808 |         603498 |                3 |               2 |
| Mundella Foods                                                         |          3980 |         464166 |                4 |               4 |
| Henties Juices                                                         |          2863 |         391372 |                5 |               5 |
| Straight Line Contracting Llc                                          |          2001 |         269623 |                6 |               9 |
| 2Connect Presentation Training                                         |          1994 |         268268 |                7 |              10 |
| Chuo Mitsui Investments                                                |          2078 |         266735 |                8 |               6 |
| Prosper Business Solutions                                             |          2014 |         264026 |                9 |               8 |
| Busby Metals Limited                                                   |          1953 |         259376 |               10 |              11 |
| Lewis Commercial General Contractors                                   |          2041 |         253593 |               11 |               7 |
| Sitting Pretty Marketing                                               |          1922 |         244504 |               12 |              12 |
| Jasmine Sandler: Top Digital Marketing Consultant And Linkedin Trainer |          1876 |         244392 |               13 |              13 |
| United Container Machinery Group Inc.                                  |          1858 |         228503 |               14 |              14 |

== 2021: Sales Break out by country == 

| country        |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:---------------|--------------:|---------------:|-----------------:|----------------:|
| China          |         16715 |        2172546 |                1 |               2 |
| United States  |         17879 |        2153313 |                2 |               1 |
| Canada         |           867 |         126193 |                3 |               3 |
| Russia         |           695 |          95276 |                4 |               4 |
| France         |           693 |          82636 |                5 |               5 |
| United Kingdom |           589 |          80142 |                6 |               6 |
| Japan          |           496 |          67505 |                7 |               8 |
| South Korea    |           535 |          60025 |                8 |               7 |
| India          |           382 |          44385 |                9 |               9 |
| Spain          |           349 |          39574 |               10 |              10 |
| Brazil         |           273 |          34966 |               11 |              11 |
| Saudi Arabia   |           219 |          34684 |               12 |              12 |
| Switzerland    |           106 |          12469 |               13 |              13 |
| Netherlands    |            70 |          10432 |               14 |              14 |
| Mexico         |            51 |           7146 |               15 |              16 |
| Sweden         |            52 |           4809 |               16 |              15 |
| Belgium        |            36 |           4248 |               17 |              18 |
| Poland         |            36 |           3820 |               18 |              18 |
| Turkey         |            38 |           3603 |               19 |              17 |

== 2021: Sales Break out by item category == 

| item category             |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:--------------------------|--------------:|---------------:|-----------------:|----------------:|
| drinkware                 |          4817 |         500640 |                1 |               1 |
| kitchen accessories       |          3543 |         432267 |                2 |               2 |
| bedding sets & components |          2818 |         423996 |                3 |               3 |
| casual & dress shoes      |          2668 |         340011 |                4 |               4 |
| sportswear                |          2246 |         301570 |                5 |               5 |
| pants                     |          1969 |         265173 |                6 |               7 |
| uniform                   |          2214 |         243964 |                7 |               6 |
| athletic shoes            |          1917 |         234104 |                8 |               8 |
| sporting goods            |          1559 |         186389 |                9 |               9 |
| hand tools                |          1322 |         171565 |               10 |              11 |
| shorts                    |          1004 |         138390 |               11 |              13 |
| cooking utensils          |          1427 |         137012 |               12 |              10 |
| table linens              |          1083 |         135162 |               13 |              12 |
| costumes & accessories    |           840 |         128556 |               14 |              16 |
| storage & organization    |           922 |         124953 |               15 |              14 |
| dinnerware & serveware    |           904 |         118635 |               16 |              15 |
| makeup                    |           692 |         114816 |               17 |              21 |
| stationery                |           800 |         100652 |               18 |              18 |
| car care products         |           709 |          94983 |               19 |              20 |
| watches                   |           754 |          93229 |               20 |              19 |
| sandals                   |           820 |          92932 |               21 |              17 |
| sewing and accessories    |           683 |          92153 |               22 |              23 |
| paint & supplies          |           689 |          89393 |               23 |              22 |
| bathroom accessories      |           609 |          71147 |               24 |              24 |
| tops                      |           449 |          60573 |               25 |              25 |
| car parts                 |           420 |          53930 |               26 |              27 |
| sleepwear                 |           389 |          53612 |               27 |              28 |
| hats & caps               |           322 |          48840 |               28 |              32 |
| boots                     |           361 |          48369 |               29 |              30 |
| accessories               |           422 |          47976 |               30 |              26 |
| home decor                |           382 |          46458 |               31 |              29 |
| mobile phone accessories  |           327 |          46324 |               32 |              31 |

== 2021: Sales Break out by brand == 

| brand                                |   sales_count |   sales_amount |   rank by amount |   rank by count |
|:-------------------------------------|--------------:|---------------:|-----------------:|----------------:|
| kohler                               |          1642 |         621521 |                1 |               5 |
| kingston brass                       |          3668 |         482936 |                2 |               2 |
| nostalgic warehouse                  |          3341 |         419675 |                3 |               3 |
| rohl                                 |           562 |         389532 |                4 |              15 |
| delta faucet                         |          1991 |         330879 |                5 |               4 |
| grandeur                             |          1411 |         251208 |                6 |               8 |
| schlage lock company                 |          4014 |         208019 |                7 |               1 |
| baldwin                              |          1135 |         145164 |                8 |               9 |
| grohe                                |           359 |         143815 |                9 |              19 |
| design art                           |          1601 |         142605 |               10 |               6 |
| axor                                 |           143 |         117812 |               11 |              40 |
| moen                                 |           423 |         116763 |               12 |              17 |
| schock                               |           259 |         112676 |               13 |              26 |
| american standard                    |           609 |         100337 |               14 |              12 |
| waterstone                           |           150 |          92955 |               15 |              38 |
| emtek                                |           731 |          80583 |               16 |              10 |
| kwikset                              |          1502 |          61568 |               17 |               7 |
| toto                                 |           113 |          60181 |               18 |              50 |
| symmons                              |           285 |          57667 |               19 |              23 |
| franke                               |           141 |          51590 |               20 |              42 |
| hansgrohe                            |           175 |          50265 |               21 |              35 |
| milocks                              |           593 |          40968 |               22 |              13 |
| pfister                              |           313 |          40525 |               23 |              22 |
| whitehaus collection                 |           184 |          36971 |               24 |              32 |
| notrax                               |           574 |          34458 |               25 |              14 |
| 3m                                   |           719 |          33727 |               26 |              11 |
| pioneer                              |           203 |          32878 |               27 |              30 |
| elkay                                |           100 |          32446 |               28 |              55 |
| delta                                |            84 |          32028 |               29 |              60 |
| danze                                |           221 |          31694 |               30 |              29 |
| artos                                |            64 |          24195 |               31 |              72 |
| la toscana                           |            57 |          23145 |               32 |              76 |
| kraus                                |           109 |          22750 |               33 |              53 |
| whitehaus                            |            61 |          21405 |               34 |              74 |
| pioneer faucets                      |           112 |          17612 |               35 |              51 |
| design house                         |           449 |          17050 |               36 |              16 |
| honeywell safes & door locks         |           119 |          15000 |               37 |              48 |
| keeney manufacturing                 |           318 |          14742 |               38 |              21 |
| rubbermaid commercial products       |           285 |          13942 |               39 |              23 |
| bellaterra home                      |            80 |          13898 |               40 |              62 |
| mr direct                            |            48 |          12999 |               41 |              83 |
| mountain plumbing                    |            38 |          12810 |               42 |              92 |
| guardian                             |           228 |          12060 |               43 |              28 |
| weslock                              |           266 |          11326 |               44 |              25 |
| cifial                               |            27 |          10799 |               45 |             103 |
| inox                                 |            32 |          10709 |               46 |              98 |
| westbrass                            |           137 |          10124 |               47 |              44 |
| blanco                               |            48 |           9080 |               48 |              83 |
| sinkology                            |            44 |           7972 |               49 |              86 |
| copper creek                         |           187 |           7835 |               50 |              31 |
| just manufacturing                   |            14 |           7764 |               51 |             116 |
| master lock                          |           363 |           7763 |               52 |              18 |
| t&s brass                            |            52 |           7712 |               53 |              80 |
| lockey usa                           |            48 |           7402 |               54 |              83 |
| carlisle                             |           118 |           7202 |               55 |              49 |
| notrax floor matting                 |           101 |           7071 |               56 |              54 |
| 3m dual lock                         |            17 |           6744 |               57 |             113 |
| fun furnishings                      |            30 |           6011 |               58 |             100 |
| ultraloq                             |            35 |           5960 |               59 |              95 |
| homewerks worldwide                  |            81 |           5947 |               60 |              61 |
| novatto                              |            31 |           5284 |               61 |              99 |
| slide-co                             |           331 |           5225 |               62 |              20 |
| deltana                              |           146 |           5176 |               63 |              39 |
| prime-line products                  |           177 |           5167 |               64 |              34 |
| dawn                                 |            53 |           5106 |               65 |              79 |
| kwc faucets                          |             9 |           5059 |               66 |             121 |
| yale                                 |            13 |           5056 |               67 |             117 |
| gift mark                            |            38 |           4935 |               68 |              92 |
| olympia faucets                      |            95 |           4893 |               69 |              58 |
| ultra faucets                        |            50 |           4891 |               70 |              81 |
| cleveland faucets                    |            67 |           4859 |               71 |              70 |
| elements of design                   |           139 |           4800 |               72 |              43 |
| hardware house                       |            54 |           4727 |               73 |              78 |
| enesco                               |            77 |           4642 |               74 |              63 |
| ccl security products                |           279 |           4217 |               75 |              24 |
| brady                                |           123 |           4205 |               76 |              47 |
| ez-set                               |           183 |           4199 |               77 |              33 |
| viegb                                |             4 |           3916 |               78 |             126 |
| huntington brass                     |            40 |           3825 |               79 |              90 |
| fluid faucets                        |            10 |           3772 |               80 |             120 |
| estora                               |            28 |           3693 |               81 |             102 |
| gator grip                           |            43 |           3643 |               82 |              87 |
| lockstate                            |            42 |           3626 |               83 |              88 |
| soss                                 |            72 |           3608 |               84 |              67 |
| durable corporation                  |            74 |           3345 |               85 |              66 |
| prime-line                           |           203 |           3306 |               86 |              30 |
| gold medal bean bags                 |            24 |           3290 |               87 |             106 |
| scotch                               |            50 |           3225 |               88 |              81 |
| yosemite home decor                  |            35 |           3177 |               89 |              95 |
| brinks                               |           126 |           3140 |               90 |              46 |
| ambassador marine                    |            88 |           3092 |               91 |              59 |
| ispring                              |            28 |           2986 |               92 |             102 |
| cleanflo                             |            29 |           2878 |               93 |             101 |
| aqueous                              |            46 |           2844 |               94 |              85 |
| idhba                                |            80 |           2675 |               95 |              62 |
| legend                               |           136 |           2600 |               96 |              45 |
| allied precision industries          |            29 |           2593 |               97 |             101 |
