category	company_name
Commercial Services & Supplies	bip dipietro electric inc
Healthcare	elias medical
Commercial Services & Supplies	koops overhead doors
Healthcare	midtown eyecare
Commercial Services & Supplies	repro security ltd
Materials	wood green timber company limited
Materials	houston chemical
Healthcare	imstar therapeutics inc.
Commercial Services & Supplies	pespisa company plumbing and heating
Materials	metal pride, inc.
Materials	monarques gold corporation.
Commercial Services & Supplies	travis electric
Commercial Services & Supplies	triox environmental emergencies
Commercial Services & Supplies	imperial contracting group, llc
Healthcare	wink eyecare boutique
Materials	mishawaka sheet metal
Commercial Services & Supplies	durabond janitorial services
Healthcare	weare animal hospital
Commercial Services & Supplies	sam levitz furniture
Commercial Services & Supplies	eagle industrial electric, inc
Commercial Services & Supplies	franklin electric company
Commercial Services & Supplies	vertical elevator
Materials	shafton steel services
Materials	allegan metal finishing co
Healthcare	infinity medical institute
Healthcare	rye eye care
Healthcare	careplus medical inc.
Commercial Services & Supplies	official heating & cooling
Healthcare	gritman medical center
Commercial Services & Supplies	oregon office solutions
Healthcare	bluewater orthopedics
Commercial Services & Supplies	shaw roofing and general contracting inc.
Healthcare	kotolena pharmaceuticals and cosmetics inc.
Healthcare	red river hospital
Commercial Services & Supplies	california environmental dewatering
Healthcare	pacific grove hospital
Healthcare	cayenne medical
Commercial Services & Supplies	ocean cleaning london ltd
Healthcare	augusta orthopedic specialists
Commercial Services & Supplies	gulbarga electricity supply company limited
Commercial Services & Supplies	allen plumbing and heating
Commercial Services & Supplies	mcmurdie electrical limited
Commercial Services & Supplies	oakpark security systems ltd
Commercial Services & Supplies	robert kierce contracting
Financials	fifth third bank
Commercial Services & Supplies	green plan ltd. environmental consulting
Commercial Services & Supplies	go security systems ltd.
Healthcare	pocket diagnosticÂ® - rapid tests
Healthcare	chesapeake eye care and laser center
Healthcare	greenhouse mental healthcare
Healthcare	sigma pharmaceuticals, llc
Healthcare	newmarket biomedical limited
Healthcare	i can pt doctors of physical therapy
Materials	sabin metal corp.
Commercial Services & Supplies	metway electrical ind. ltd.
Commercial Services & Supplies	pearlite fixture group inc.
Commercial Services & Supplies	swca environmental consultants
Financials	cape cod wealth strategies & insurance services, llc
Commercial Services & Supplies	sovereign environmental group
Financials	victory funding
Commercial Services & Supplies	sharon's heating & air conditioning, inc.
Materials	hercules chemical co
Commercial Services & Supplies	modern office products
Materials	cps - chemicals products & services
Materials	brown strauss steel
Materials	spectrum paint
Financials	caldwell & associates insurance
Financials	blackfinch investments limited
Financials	bob perks cancer assistance fund
Financials	royal financial trading
Financials	ethos asset finance limited
Materials	heidtman steel company
Healthcare	the eye center of colorado
Commercial Services & Supplies	dale leisure supplies limited
